Prague/Libus
50.000 [deg N], 14.450 [deg E], 304 [m], 1 [timezone h], -30 [time ref. min]
m	dm	dy	h	mi	G_Gh	hs	G_Gex	G_Gh_hr	G_Dh	G_Gk	G_Dk	G_Bn	Ta	FF	G_Gcs	Td	PVprod
1	1	1	0	15	0	-63.0	0	0	0	0	0	0	-8.7	1.1	0	-11.9	0
1	1	1	0	30	0	-62.8	0	0	0	0	0	0	-8.7	1.1	0	-11.9	0
1	1	1	0	45	0	-62.3	0	0	0	0	0	0	-8.7	1.0	0	-12.4	0
1	1	1	1	0	0	-61.5	0	0	0	0	0	0	-8.7	0.9	0	-12.8	0
1	1	1	1	15	0	-60.5	0	0	0	0	0	0	-8.8	0.8	0	-13.3	0
1	1	1	1	30	0	-59.1	0	0	0	0	0	0	-8.8	0.7	0	-13.7	0
1	1	1	1	45	0	-57.6	0	0	0	0	0	0	-8.9	0.7	0	-13.9	0
1	1	1	2	0	0	-55.9	0	0	0	0	0	0	-9.0	0.6	0	-14.0	0
1	1	1	2	15	0	-54.1	0	0	0	0	0	0	-9.0	0.6	0	-14.2	0
1	1	1	2	30	0	-52.1	0	0	0	0	0	0	-9.1	0.5	0	-14.3	0
1	1	1	2	45	0	-50.0	0	0	0	0	0	0	-9.1	0.6	0	-14.4	0
1	1	1	3	0	0	-47.9	0	0	0	0	0	0	-9.2	0.6	0	-14.4	0
1	1	1	3	15	0	-45.6	0	0	0	0	0	0	-9.2	0.7	0	-14.5	0
1	1	1	3	30	0	-43.3	0	0	0	0	0	0	-9.2	0.8	0	-14.5	0
1	1	1	3	45	0	-41.0	0	0	0	0	0	0	-9.3	0.8	0	-14.6	0
1	1	1	4	0	0	-38.7	0	0	0	0	0	0	-9.3	0.8	0	-14.7	0
1	1	1	4	15	0	-36.3	0	0	0	0	0	0	-9.4	0.8	0	-14.7	0
1	1	1	4	30	0	-33.9	0	0	0	0	0	0	-9.4	0.8	0	-14.8	0
1	1	1	4	45	0	-31.5	0	0	0	0	0	0	-9.4	0.9	0	-14.7	0
1	1	1	5	0	0	-29.1	0	0	0	0	0	0	-9.5	0.9	0	-14.7	0
1	1	1	5	15	0	-26.6	0	0	0	0	0	0	-9.5	1.0	0	-14.6	0
1	1	1	5	30	0	-24.3	0	0	0	0	0	0	-9.6	1.1	0	-14.5	0
1	1	1	5	45	0	-21.9	0	0	0	0	0	0	-9.6	1.0	0	-14.6	0
1	1	1	6	0	0	-19.5	0	0	0	0	0	0	-9.6	0.9	0	-14.7	0
1	1	1	6	15	0	-17.2	0	0	0	0	0	0	-9.6	0.8	0	-14.8	0
1	1	1	6	30	0	-14.9	0	0	0	0	0	0	-9.7	0.7	0	-14.9	0
1	1	1	6	45	0	-12.6	0	0	0	0	0	0	-9.7	0.9	0	-14.9	0
1	1	1	7	0	0	-10.4	0	0	0	0	0	0	-9.7	1.2	0	-15.0	0
1	1	1	7	15	0	-8.2	0	0	0	0	0	0	-9.8	1.4	0	-15.1	0
1	1	1	7	30	0	-6.1	0	0	0	0	0	0	-9.8	1.7	0	-15.2	0
1	1	1	7	45	0	-4.0	0	0	0	0	0	0	-9.8	1.6	0	-15.0	0
1	1	1	8	0	0	-2.0	0	0	0	0	0	0	-9.7	1.4	0	-14.8	0
1	1	1	8	15	0	0.0	6	6	0	0	0	0	-9.7	1.3	3	-14.7	0
1	1	1	8	30	3	1.9	46	6	3	3	3	0	-9.6	1.1	27	-14.5	3
