Var1,m,dm,dy,h,mi,G_Gh,hs,G_Gex,G_Gh_hr,G_Dh,G_Gk,G_Dk,G_Bn,Ta,FF,G_Gcs,Td,PVprod,price
6,7,24,205,0,0,0,-19.8,0,0,0,0,0,0,22.8,2.2,0,15.9,0,3.66666666666667
6,7,24,205,0,1,0,-20,0,0,0,0,0,0,22.8,2.2,0,15.9,0,3.66666666666667
6,7,24,205,0,2,0,-20,0,0,0,0,0,0,22.8,2.2,0,15.9,0,3.66666666666667
6,7,24,205,0,3,0,-20,0,0,0,0,0,0,22.9,2.2,0,16,0,3.66666666666667
6,7,24,205,0,4,0,-20,0,0,0,0,0,0,22.9,2.3,0,16,0,3.66666666666667
6,7,24,205,0,5,0,-20,0,0,0,0,0,0,22.9,2.3,0,16,0,3.66666666666667
6,7,24,205,0,6,0,-20,0,0,0,0,0,0,22.9,2.3,0,16,0,3.66666666666667
6,7,24,205,0,7,0,-20,0,0,0,0,0,0,22.9,2.3,0,16,0,3.66666666666667
6,7,24,205,0,8,0,-20,0,0,0,0,0,0,22.9,2.4,0,16,0,3.66666666666667
6,7,24,205,0,9,0,-20,0,0,0,0,0,0,22.9,2.4,0,16,0,3.66666666666667
6,7,24,205,0,10,0,-20,0,0,0,0,0,0,22.9,2.4,0,16,0,3.66666666666667
6,7,24,205,0,11,0,-20,0,0,0,0,0,0,22.9,2.4,0,16,0,3.66666666666667
6,7,24,205,0,12,0,-20,0,0,0,0,0,0,22.9,2.5,0,16,0,3.66666666666667
6,7,24,205,0,13,0,-20,0,0,0,0,0,0,22.9,2.5,0,16,0,3.66666666666667
6,7,24,205,0,14,0,-20,0,0,0,0,0,0,22.9,2.5,0,16,0,3.66666666666667
6,7,24,205,0,15,0,-20,0,0,0,0,0,0,22.9,2.5,0,16,0,3.66666666666667
6,7,24,205,0,16,0,-20,0,0,0,0,0,0,22.9,2.6,0,16,0,3.66666666666667
6,7,24,205,0,17,0,-20,0,0,0,0,0,0,22.9,2.6,0,16,0,3.66666666666667
6,7,24,205,0,18,0,-20,0,0,0,0,0,0,22.9,2.6,0,16,0,3.66666666666667
6,7,24,205,0,19,0,-20,0,0,0,0,0,0,22.9,2.6,0,16,0,3.66666666666667
6,7,24,205,0,20,0,-20,0,0,0,0,0,0,22.9,2.6,0,16,0,3.66666666666667
6,7,24,205,0,21,0,-20,0,0,0,0,0,0,22.9,2.7,0,16,0,3.66666666666667
6,7,24,205,0,22,0,-19.9,0,0,0,0,0,0,22.9,2.7,0,16,0,3.66666666666667
6,7,24,205,0,23,0,-19.9,0,0,0,0,0,0,22.9,2.7,0,16,0,3.66666666666667
6,7,24,205,0,24,0,-19.9,0,0,0,0,0,0,22.9,2.7,0,16,0,3.66666666666667
6,7,24,205,0,25,0,-19.9,0,0,0,0,0,0,22.9,2.8,0,16,0,3.66666666666667
6,7,24,205,0,26,0,-19.9,0,0,0,0,0,0,22.9,2.8,0,16,0,3.66666666666667
6,7,24,205,0,27,0,-19.9,0,0,0,0,0,0,22.9,2.8,0,16,0,3.66666666666667
6,7,24,205,0,28,0,-19.9,0,0,0,0,0,0,23,2.8,0,16,0,3.66666666666667
6,7,24,205,0,29,0,-19.9,0,0,0,0,0,0,23,2.9,0,16,0,3.66666666666667
6,7,24,205,0,30,0,-19.9,0,0,0,0,0,0,23,2.9,0,16,0,3.66666666666667
6,7,24,205,0,31,0,-19.8,0,0,0,0,0,0,23,2.9,0,16,0,3.66666666666667
6,7,24,205,0,32,0,-19.8,0,0,0,0,0,0,23,2.9,0,16,0,3.66666666666667
6,7,24,205,0,33,0,-19.8,0,0,0,0,0,0,23,2.9,0,16,0,3.66666666666667
6,7,24,205,0,34,0,-19.8,0,0,0,0,0,0,23,2.8,0,16.1,0,3.66666666666667
6,7,24,205,0,35,0,-19.8,0,0,0,0,0,0,23,2.8,0,16.1,0,3.66666666666667
6,7,24,205,0,36,0,-19.8,0,0,0,0,0,0,23,2.8,0,16.1,0,3.66666666666667
6,7,24,205,0,37,0,-19.7,0,0,0,0,0,0,23,2.8,0,16.1,0,3.66666666666667
6,7,24,205,0,38,0,-19.7,0,0,0,0,0,0,23,2.7,0,16.1,0,3.66666666666667
6,7,24,205,0,39,0,-19.7,0,0,0,0,0,0,23,2.7,0,16.1,0,3.66666666666667
6,7,24,205,0,40,0,-19.7,0,0,0,0,0,0,23,2.7,0,16.1,0,3.66666666666667
6,7,24,205,0,41,0,-19.7,0,0,0,0,0,0,23,2.7,0,16.1,0,3.66666666666667
6,7,24,205,0,42,0,-19.6,0,0,0,0,0,0,23,2.6,0,16.1,0,3.66666666666667
6,7,24,205,0,43,0,-19.6,0,0,0,0,0,0,23,2.6,0,16.1,0,3.66666666666667
6,7,24,205,0,44,0,-19.6,0,0,0,0,0,0,23,2.6,0,16.1,0,3.66666666666667
6,7,24,205,0,45,0,-19.6,0,0,0,0,0,0,23,2.6,0,16.1,0,3.66666666666667
6,7,24,205,0,46,0,-19.5,0,0,0,0,0,0,23,2.5,0,16.1,0,3.66666666666667
6,7,24,205,0,47,0,-19.5,0,0,0,0,0,0,23,2.5,0,16.1,0,3.66666666666667
