Var1,m,dm,dy,h,mi,G_Gh,hs,G_Gex,G_Gh_hr,G_Dh,G_Gk,G_Dk,G_Bn,Ta,FF,G_Gcs,Td,PVprod,price
7,7,10,191,0,0,0,-17.5,0,0,0,0,0,0,19.9,0.3,0,14.1,0,3.43027834351663
7,7,10,191,0,1,0,-17.7,0,0,0,0,0,0,19.8,0.3,0,14.1,0,3.43027834351663
7,7,10,191,0,2,0,-17.7,0,0,0,0,0,0,19.8,0.3,0,14.1,0,3.43027834351663
7,7,10,191,0,3,0,-17.7,0,0,0,0,0,0,19.8,0.3,0,14.1,0,3.43027834351663
7,7,10,191,0,4,0,-17.7,0,0,0,0,0,0,19.8,0.3,0,14.1,0,3.43027834351663
7,7,10,191,0,5,0,-17.7,0,0,0,0,0,0,19.7,0.3,0,14.1,0,3.43027834351663
7,7,10,191,0,6,0,-17.7,0,0,0,0,0,0,19.7,0.3,0,14.1,0,3.43027834351663
7,7,10,191,0,7,0,-17.7,0,0,0,0,0,0,19.7,0.3,0,14,0,3.43027834351663
7,7,10,191,0,8,0,-17.7,0,0,0,0,0,0,19.7,0.3,0,14,0,3.43027834351663
7,7,10,191,0,9,0,-17.7,0,0,0,0,0,0,19.6,0.3,0,14,0,3.43027834351663
7,7,10,191,0,10,0,-17.7,0,0,0,0,0,0,19.6,0.3,0,14,0,3.43027834351663
7,7,10,191,0,11,0,-17.7,0,0,0,0,0,0,19.6,0.3,0,14,0,3.43027834351663
7,7,10,191,0,12,0,-17.7,0,0,0,0,0,0,19.6,0.3,0,14,0,3.43027834351663
7,7,10,191,0,13,0,-17.7,0,0,0,0,0,0,19.6,0.3,0,13.9,0,3.43027834351663
7,7,10,191,0,14,0,-17.7,0,0,0,0,0,0,19.5,0.3,0,13.9,0,3.43027834351663
7,7,10,191,0,15,0,-17.7,0,0,0,0,0,0,19.5,0.3,0,13.9,0,3.43027834351663
7,7,10,191,0,16,0,-17.7,0,0,0,0,0,0,19.5,0.3,0,13.9,0,3.43027834351663
7,7,10,191,0,17,0,-17.7,0,0,0,0,0,0,19.5,0.2,0,13.9,0,3.43027834351663
7,7,10,191,0,18,0,-17.6,0,0,0,0,0,0,19.4,0.2,0,13.9,0,3.43027834351663
7,7,10,191,0,19,0,-17.6,0,0,0,0,0,0,19.4,0.2,0,13.9,0,3.43027834351663
7,7,10,191,0,20,0,-17.6,0,0,0,0,0,0,19.4,0.2,0,13.8,0,3.43027834351663
7,7,10,191,0,21,0,-17.6,0,0,0,0,0,0,19.4,0.2,0,13.8,0,3.43027834351663
7,7,10,191,0,22,0,-17.6,0,0,0,0,0,0,19.3,0.2,0,13.8,0,3.43027834351663
7,7,10,191,0,23,0,-17.6,0,0,0,0,0,0,19.3,0.2,0,13.8,0,3.43027834351663
7,7,10,191,0,24,0,-17.6,0,0,0,0,0,0,19.3,0.2,0,13.8,0,3.43027834351663
7,7,10,191,0,25,0,-17.6,0,0,0,0,0,0,19.3,0.2,0,13.8,0,3.43027834351663
7,7,10,191,0,26,0,-17.6,0,0,0,0,0,0,19.3,0.2,0,13.8,0,3.43027834351663
7,7,10,191,0,27,0,-17.6,0,0,0,0,0,0,19.2,0.2,0,13.7,0,3.43027834351663
