Var1,m,dm,dy,h,mi,G_Gh,hs,G_Gex,G_Gh_hr,G_Dh,G_Gk,G_Dk,G_Bn,Ta,FF,G_Gcs,Td,PVprod,price
2,1,22,22,0,0,0,-59.9,0,0,0,0,0,0,-6.5,6.5,0,-9.6,0,3.81536899717514
2,1,22,22,0,1,0,-59.7,0,0,0,0,0,0,-6.5,6.5,0,-9.6,0,3.81536899717514
2,1,22,22,0,2,0,-59.7,0,0,0,0,0,0,-6.5,6.5,0,-9.6,0,3.81536899717514
2,1,22,22,0,3,0,-59.8,0,0,0,0,0,0,-6.5,6.5,0,-9.6,0,3.81536899717514
2,1,22,22,0,4,0,-59.8,0,0,0,0,0,0,-6.5,6.6,0,-9.5,0,3.81536899717514
2,1,22,22,0,5,0,-59.8,0,0,0,0,0,0,-6.5,6.6,0,-9.5,0,3.81536899717514
2,1,22,22,0,6,0,-59.8,0,0,0,0,0,0,-6.6,6.6,0,-9.5,0,3.81536899717514
2,1,22,22,0,7,0,-59.8,0,0,0,0,0,0,-6.6,6.6,0,-9.5,0,3.81536899717514
2,1,22,22,0,8,0,-59.8,0,0,0,0,0,0,-6.6,6.6,0,-9.5,0,3.81536899717514
2,1,22,22,0,9,0,-59.8,0,0,0,0,0,0,-6.6,6.7,0,-9.5,0,3.81536899717514
2,1,22,22,0,10,0,-59.8,0,0,0,0,0,0,-6.6,6.7,0,-9.5,0,3.81536899717514
2,1,22,22,0,11,0,-59.8,0,0,0,0,0,0,-6.6,6.7,0,-9.5,0,3.81536899717514
2,1,22,22,0,12,0,-59.8,0,0,0,0,0,0,-6.6,6.7,0,-9.5,0,3.81536899717514
2,1,22,22,0,13,0,-59.8,0,0,0,0,0,0,-6.6,6.7,0,-9.5,0,3.81536899717514
2,1,22,22,0,14,0,-59.8,0,0,0,0,0,0,-6.6,6.8,0,-9.5,0,3.81536899717514
2,1,22,22,0,15,0,-59.8,0,0,0,0,0,0,-6.7,6.8,0,-9.5,0,3.81536899717514
2,1,22,22,0,16,0,-59.8,0,0,0,0,0,0,-6.7,6.8,0,-9.5,0,3.81536899717514
2,1,22,22,0,17,0,-59.8,0,0,0,0,0,0,-6.7,6.8,0,-9.5,0,3.81536899717514
2,1,22,22,0,18,0,-59.8,0,0,0,0,0,0,-6.7,6.8,0,-9.4,0,3.81536899717514
2,1,22,22,0,19,0,-59.8,0,0,0,0,0,0,-6.7,6.9,0,-9.4,0,3.81536899717514
2,1,22,22,0,20,0,-59.8,0,0,0,0,0,0,-6.7,6.9,0,-9.4,0,3.81536899717514
2,1,22,22,0,21,0,-59.8,0,0,0,0,0,0,-6.7,6.9,0,-9.4,0,3.81536899717514
2,1,22,22,0,22,0,-59.8,0,0,0,0,0,0,-6.7,6.9,0,-9.4,0,3.81536899717514
2,1,22,22,0,23,0,-59.8,0,0,0,0,0,0,-6.8,6.9,0,-9.4,0,3.81536899717514
2,1,22,22,0,24,0,-59.8,0,0,0,0,0,0,-6.8,7,0,-9.4,0,3.81536899717514
2,1,22,22,0,25,0,-59.8,0,0,0,0,0,0,-6.8,7,0,-9.4,0,3.81536899717514
2,1,22,22,0,26,0,-59.8,0,0,0,0,0,0,-6.8,7,0,-9.4,0,3.81536899717514
2,1,22,22,0,27,0,-59.7,0,0,0,0,0,0,-6.8,7,0,-9.4,0,3.81536899717514
2,1,22,22,0,28,0,-59.7,0,0,0,0,0,0,-6.8,7,0,-9.4,0,3.81536899717514
2,1,22,22,0,29,0,-59.7,0,0,0,0,0,0,-6.8,7.1,0,-9.4,0,3.81536899717514
2,1,22,22,0,30,0,-59.7,0,0,0,0,0,0,-6.8,7.1,0,-9.4,0,3.81536899717514
2,1,22,22,0,31,0,-59.7,0,0,0,0,0,0,-6.8,7.1,0,-9.3,0,3.81536899717514
2,1,22,22,0,32,0,-59.6,0,0,0,0,0,0,-6.9,7.1,0,-9.3,0,3.81536899717514
2,1,22,22,0,33,0,-59.6,0,0,0,0,0,0,-6.9,7,0,-9.3,0,3.81536899717514
2,1,22,22,0,34,0,-59.6,0,0,0,0,0,0,-6.9,7,0,-9.3,0,3.81536899717514
2,1,22,22,0,35,0,-59.6,0,0,0,0,0,0,-6.9,6.9,0,-9.4,0,3.81536899717514
2,1,22,22,0,36,0,-59.5,0,0,0,0,0,0,-6.9,6.9,0,-9.4,0,3.81536899717514
2,1,22,22,0,37,0,-59.5,0,0,0,0,0,0,-6.9,6.8,0,-9.4,0,3.81536899717514
2,1,22,22,0,38,0,-59.5,0,0,0,0,0,0,-6.9,6.8,0,-9.4,0,3.81536899717514
2,1,22,22,0,39,0,-59.4,0,0,0,0,0,0,-7,6.7,0,-9.4,0,3.81536899717514
2,1,22,22,0,40,0,-59.4,0,0,0,0,0,0,-7,6.7,0,-9.4,0,3.81536899717514
2,1,22,22,0,41,0,-59.4,0,0,0,0,0,0,-7,6.7,0,-9.4,0,3.81536899717514
2,1,22,22,0,42,0,-59.3,0,0,0,0,0,0,-7,6.6,0,-9.4,0,3.81536899717514
2,1,22,22,0,43,0,-59.3,0,0,0,0,0,0,-7,6.6,0,-9.4,0,3.81536899717514
2,1,22,22,0,44,0,-59.3,0,0,0,0,0,0,-7,6.5,0,-9.4,0,3.81536899717514
2,1,22,22,0,45,0,-59.2,0,0,0,0,0,0,-7,6.5,0,-9.4,0,3.81536899717514
2,1,22,22,0,46,0,-59.2,0,0,0,0,0,0,-7.1,6.4,0,-9.4,0,3.81536899717514
