Tecomat F2x CP2005I v2.3.063 DataLogger v1.3 (2024-01-10-00:00:00) : Hot_Dock / Srovnani ! Type : PERIODIC | DATE : %TYYYY-MM-DD | TIME : %Thh:mm:ss | REAL : %3.2f %RF051252 | REAL : %3.2f %RF051426 | REAL : %4.3f %RF051948 | STRING : %s | ,;
DATE;TIME;1_MT_01;1_MT_02;1_MF_01;Text
2024-01-10;00:00:00;25,98;20,48;0,000; Sync 
2024-01-10;00:01:00;25,77;20,36;0,000; Sync 
2024-01-10;00:02:00;25,58;20,22;0,000; Sync 
2024-01-10;00:03:00;25,41;20,16;0,000; Sync 
2024-01-10;00:04:00;25,25;20,06;0,000; Sync 
2024-01-10;00:05:00;25,12;19,96;0,000; Sync 
2024-01-10;00:06:00;24,95;19,84;0,000; Sync 
2024-01-10;00:07:00;24,85;19,78;0,000; Sync 
2024-01-10;00:08:00;24,70;19,66;0,000; Sync 
2024-01-10;00:09:00;24,55;19,53;0,000; Sync 
2024-01-10;00:10:00;24,46;19,47;0,000; Sync 
2024-01-10;00:11:00;24,31;19,35;0,000; Sync 
2024-01-10;00:12:00;24,23;19,22;0,000; Sync 
2024-01-10;00:13:00;24,24;19,19;0,000; Sync 
2024-01-10;00:14:00;24,12;19,01;0,000; Sync 
2024-01-10;00:15:00;23,99;18,91;0,000; Sync 
2024-01-10;00:16:00;23,86;18,76;0,000; Sync 
2024-01-10;00:17:00;23,77;18,68;0,000; Sync 
2024-01-10;00:18:00;23,63;18,57;0,000; Sync 
2024-01-10;00:19:00;23,51;18,49;0,000; Sync 
2024-01-10;00:20:00;23,34;18,38;0,000; Sync 
2024-01-10;00:21:00;23,24;18,29;0,000; Sync 
2024-01-10;00:22:00;23,08;18,19;0,000; Sync 
2024-01-10;00:23:00;22,97;18,09;0,000; Sync 
2024-01-10;00:24:00;22,85;18,04;0,000; Sync 
2024-01-10;00:25:00;22,75;17,98;0,000; Sync 
2024-01-10;00:26:00;22,63;17,88;0,000; Sync 
2024-01-10;00:27:00;22,53;17,79;0,000; Sync 
2024-01-10;00:28:00;22,41;17,73;0,000; Sync 
2024-01-10;00:29:00;22,32;17,65;0,000; Sync 
2024-01-10;00:30:00;22,18;17,54;0,000; Sync 
2024-01-10;00:31:00;22,09;17,50;0,000; Sync 
2024-01-10;00:32:00;21,97;17,39;0,000; Sync 
2024-01-10;00:33:00;21,89;17,32;0,000; Sync 
2024-01-10;00:34:00;21,76;17,21;0,000; Sync 
2024-01-10;00:35:00;21,65;17,16;0,000; Sync 
2024-01-10;00:36:00;21,60;17,10;0,000; Sync 
2024-01-10;00:37:00;21,47;16,99;0,000; Sync 
2024-01-10;00:38:00;21,37;16,90;0,000; Sync 
2024-01-10;00:39:00;21,24;16,81;0,000; Sync 
2024-01-10;00:40:00;21,14;16,71;0,000; Sync 
2024-01-10;00:41:00;21,07;16,67;0,000; Sync 
2024-01-10;00:42:00;20,99;16,61;0,000; Sync 
2024-01-10;00:43:00;20,87;16,51;0,000; Sync 
2024-01-10;00:44:00;20,79;16,45;0,000; Sync 
2024-01-10;00:45:00;20,69;16,38;0,000; Sync 
2024-01-10;00:46:00;20,58;16,27;0,000; Sync 
2024-01-10;00:47:00;20,53;16,25;0,000; Sync 
2024-01-10;00:48:00;20,40;16,15;0,000; Sync 
2024-01-10;00:49:00;20,34;16,11;0,000; Sync 
2024-01-10;00:50:00;20,20;16,02;0,000; Sync 
2024-01-10;00:51:00;20,14;15,95;0,000; Sync 
