Tecomat F2x CP2007I v2.3.061 DataLogger v1.3 (2024-01-10-00:00:00) : Datalog / El_meter ! Type : PERIODIC | DATE : %TDD-MM-YYYY | TIME : %Thh:mm:ss | REAL : %9.f %RF012397 | REAL : %9.f %RF012401 | REAL : %9.f %RF012405 | ,;
DATUM;ÈAS;Vykon L1;Vykon L2;Vykon L3
10-01-2024;00:00:00;       14;        0;       -0;
10-01-2024;00:01:00;       22;        0;       -0;
10-01-2024;00:02:00;       12;        0;       -0;
10-01-2024;00:03:00;       17;        0;       -0;
10-01-2024;00:04:00;       11;        0;       -0;
10-01-2024;00:05:00;       12;        0;       -0;
10-01-2024;00:06:00;       12;        0;       -0;
10-01-2024;00:07:00;       22;       -0;       -0;
10-01-2024;00:08:00;       12;        0;       -0;
10-01-2024;00:09:00;       12;        0;       -0;
10-01-2024;00:10:00;       12;        0;       -0;
10-01-2024;00:11:00;       14;        0;       -0;
10-01-2024;00:12:00;       22;        0;       -0;
10-01-2024;00:13:00;       22;       -0;       -0;
10-01-2024;00:14:00;       12;        0;       -0;
10-01-2024;00:15:00;       23;        0;       -0;
10-01-2024;00:16:00;       22;        0;       -0;
10-01-2024;00:17:00;       22;        0;       -0;
10-01-2024;00:18:00;       22;        0;       -0;
10-01-2024;00:19:00;       12;        0;       -0;
10-01-2024;00:20:00;       12;        0;        0;
10-01-2024;00:21:00;       12;        0;        0;
10-01-2024;00:22:00;       22;        0;       -0;
10-01-2024;00:23:00;       16;        0;       -0;
10-01-2024;00:24:00;       11;        0;       -0;
10-01-2024;00:25:00;       12;        0;       -0;
10-01-2024;00:26:00;       12;        0;       -0;
10-01-2024;00:27:00;       22;        0;       -0;
10-01-2024;00:28:00;       12;        0;       -0;
10-01-2024;00:29:00;       12;        0;       -0;
10-01-2024;00:30:00;       22;        0;       -0;
10-01-2024;00:31:00;       12;        0;        0;
10-01-2024;00:32:00;       12;        0;       -0;
10-01-2024;00:33:00;       12;        0;       -0;
10-01-2024;00:34:00;       22;        0;       -0;
10-01-2024;00:35:00;       12;        0;       -0;
10-01-2024;00:36:00;       11;        0;        0;
10-01-2024;00:37:00;       19;        0;       -0;
10-01-2024;00:38:00;       22;        0;        0;
10-01-2024;00:39:00;       11;        0;       -0;
10-01-2024;00:40:00;       12;        0;       -0;
10-01-2024;00:41:00;       19;        0;        0;
10-01-2024;00:42:00;       12;        0;       -0;
10-01-2024;00:43:00;       11;       -0;       -0;
10-01-2024;00:44:00;       12;        0;       -0;
10-01-2024;00:45:00;       12;        0;       -0;
10-01-2024;00:46:00;       12;        0;       -0;
10-01-2024;00:47:00;       12;        0;       -0;
10-01-2024;00:48:00;       15;        0;        0;
10-01-2024;00:49:00;       22;        0;       -0;
10-01-2024;00:50:00;       11;       -0;       -0;
10-01-2024;00:51:00;       12;        0;        0;
10-01-2024;00:52:00;       12;        0;       -0;
10-01-2024;00:53:00;       12;        0;       -0;
10-01-2024;00:54:00;       12;        0;       -0;
10-01-2024;00:55:00;       12;        0;        0;
10-01-2024;00:56:00;       12;        0;       -0;
10-01-2024;00:57:00;       12;        0;        0;
10-01-2024;00:58:00;       12;        0;       -0;
10-01-2024;00:59:00;       22;        0;        0;
10-01-2024;01:00:00;       12;        0;       -0;
10-01-2024;01:01:00;       22;        0;       -0;
10-01-2024;01:02:00;       11;        0;       -0;
10-01-2024;01:03:00;       22;       -0;       -0;
10-01-2024;01:04:00;       22;        0;       -0;
10-01-2024;01:05:00;       11;        0;       -0;
10-01-2024;01:06:00;       12;        0;       -0;
10-01-2024;01:07:00;       22;       -0;       -0;
10-01-2024;01:08:00;       12;        0;       -0;
10-01-2024;01:09:00;       12;        0;       -0;
10-01-2024;01:10:00;       12;        0;       -0;
10-01-2024;01:11:00;       22;       -0;       -0;
10-01-2024;01:12:00;       22;       -0;       -0;
10-01-2024;01:13:00;       22;       -0;       -0;
10-01-2024;01:14:00;       12;        0;        0;
10-01-2024;01:15:00;       22;        0;       -0;
10-01-2024;01:16:00;       23;        0;       -0;
10-01-2024;01:17:00;       22;        0;       -0;
10-01-2024;01:18:00;       12;       -0;       -0;
10-01-2024;01:19:00;       12;        0;       -0;
10-01-2024;01:20:00;       22;        0;       -0;
10-01-2024;01:21:00;       12;        0;       -0;
10-01-2024;01:22:00;       20;        0;       -0;
10-01-2024;01:23:00;       12;        0;       -0;
10-01-2024;01:24:00;       23;        0;        0;
10-01-2024;01:25:00;       12;        0;       -0;
10-01-2024;01:26:00;       12;        0;       -0;
10-01-2024;01:27:00;       20;        0;        0;
10-01-2024;01:28:00;       13;        0;        0;
10-01-2024;01:29:00;       12;        0;       -0;
10-01-2024;01:30:00;       13;        0;       -0;
10-01-2024;01:31:00;       16;        0;       -0;
10-01-2024;01:32:00;       22;        0;       -0;
10-01-2024;01:33:00;       12;        0;       -0;
10-01-2024;01:34:00;       12;        0;       -0;
10-01-2024;01:35:00;       22;        0;       -0;
10-01-2024;01:36:00;       12;        0;       -0;
10-01-2024;01:37:00;       11;        0;       -0;
10-01-2024;01:38:00;       11;       -0;       -0;
10-01-2024;01:39:00;       23;        0;       -0;
10-01-2024;01:40:00;       12;       -0;        0;
10-01-2024;01:41:00;       75;        0;       -0;
10-01-2024;01:41:14;      288;        0;        0;
10-01-2024;01:41:20;      483;        0;       -0;
10-01-2024;01:41:30;      631;        0;       -0;
10-01-2024;01:41:40;      826;       -0;       -0;
10-01-2024;01:41:50;      870;        0;       -0;
10-01-2024;01:42:00;      896;       -0;        0;
10-01-2024;01:42:10;      908;        0;       -0;
10-01-2024;01:42:20;      905;        0;       -0;
10-01-2024;01:42:30;      917;        0;       -0;
10-01-2024;01:42:40;      922;        0;        0;
10-01-2024;01:42:50;      852;       -0;       -0;
10-01-2024;01:43:00;      690;        0;       -0;
10-01-2024;01:43:10;      776;        0;       -0;
10-01-2024;01:43:20;      782;        0;       -0;
10-01-2024;01:43:30;      790;        0;       -0;
10-01-2024;01:43:40;      799;       -0;       -0;
10-01-2024;01:43:50;      945;        0;       -0;
10-01-2024;01:44:00;      967;        0;       -0;
10-01-2024;01:44:10;      979;        0;       -0;
10-01-2024;01:44:20;      989;        0;       -0;
10-01-2024;01:44:30;      994;        0;       -0;
10-01-2024;01:44:40;      999;       -0;       -0;
10-01-2024;01:44:50;     1001;        0;       -0;
10-01-2024;01:45:00;      999;       -0;       -0;
10-01-2024;01:45:10;     1161;        0;       -0;
10-01-2024;01:45:20;     1176;        0;       -0;
10-01-2024;01:45:30;     1187;       -0;        0;
10-01-2024;01:45:40;     1195;        0;       -0;
10-01-2024;01:45:50;     1198;        0;       -0;
10-01-2024;01:46:00;     1199;        0;       -0;
10-01-2024;01:46:10;     1176;        0;       -0;
10-01-2024;01:46:20;     1168;       -0;       -0;
10-01-2024;01:46:30;     1155;        0;       -0;
10-01-2024;01:46:40;     1160;        0;        0;
10-01-2024;01:46:50;     1305;        0;       -0;
10-01-2024;01:47:00;     1333;        0;       -0;
10-01-2024;01:47:10;     1336;        0;       -0;
10-01-2024;01:47:20;     1362;        0;       -0;
10-01-2024;01:47:30;     1367;        0;       -0;
10-01-2024;01:47:40;     1376;        0;        0;
10-01-2024;01:47:50;     1385;        0;       -0;
10-01-2024;01:48:00;     1405;       -0;       -0;
10-01-2024;01:48:10;     1399;        0;        0;
10-01-2024;01:48:20;     1394;       -0;       -0;
10-01-2024;01:48:30;     1389;        0;       -0;
10-01-2024;01:48:40;     1386;        0;       -0;
10-01-2024;01:48:50;     1542;       -0;       -0;
10-01-2024;01:49:00;     1534;       -0;       -0;
10-01-2024;01:49:10;     1521;       -0;        0;
10-01-2024;01:49:20;     1501;       -0;       -0;
10-01-2024;01:49:30;     1479;        0;       -0;
10-01-2024;01:49:40;     1469;       -0;       -0;
10-01-2024;01:49:50;     1460;        0;       -0;
10-01-2024;01:50:00;     1454;        0;       -0;
10-01-2024;01:50:10;     1451;        0;       -0;
10-01-2024;01:50:20;     1444;        0;       -0;
10-01-2024;01:50:30;     1447;        0;       -0;
10-01-2024;01:50:40;     1447;        0;        0;
10-01-2024;01:50:50;     1603;        0;        0;
10-01-2024;01:51:00;     1676;        0;       -0;
10-01-2024;01:51:10;     1679;       -0;       -0;
10-01-2024;01:51:20;     1881;       -0;       -0;
10-01-2024;01:51:30;     1647;        0;        0;
10-01-2024;01:51:40;     1640;        0;       -0;
10-01-2024;01:51:50;     1854;       -0;       -0;
10-01-2024;01:52:00;     1871;        0;        0;
10-01-2024;01:52:10;     1872;        0;        0;
10-01-2024;01:52:20;     1872;        0;       -0;
10-01-2024;01:52:30;     1873;        0;       -0;
10-01-2024;01:52:40;     1870;        0;       -0;
10-01-2024;01:52:50;     1870;        0;       -0;
10-01-2024;01:53:00;     1872;        0;       -0;
10-01-2024;01:53:10;     1872;        0;       -0;
10-01-2024;01:53:20;     1880;       -0;       -0;
10-01-2024;01:53:30;     1887;        0;        0;
10-01-2024;01:53:40;     1892;        0;       -0;
10-01-2024;01:53:50;     1897;        0;       -0;
10-01-2024;01:54:00;     1898;        0;       -0;
10-01-2024;01:54:10;     1903;        0;       -0;
10-01-2024;01:54:20;     1911;       -0;       -0;
10-01-2024;01:54:30;     1920;       -0;       -0;
10-01-2024;01:54:40;     1929;        0;       -0;
10-01-2024;01:54:50;     1709;       -0;       -0;
10-01-2024;01:55:00;     1724;        0;       -0;
10-01-2024;01:55:10;     1767;        0;       -0;
10-01-2024;01:55:20;     1795;        0;       -0;
10-01-2024;01:55:30;     1819;        0;       -0;
10-01-2024;01:55:40;     1817;        0;       -0;
10-01-2024;01:55:50;     1818;        0;       -0;
10-01-2024;01:56:00;     1736;       -0;       -0;
10-01-2024;01:56:10;     1644;        0;       -0;
