Tecomat F2x CP2007I v2.3.061 DataLogger v1.3 (2024-01-10-00:00:00) : Datalog / TC1 ! Type : PERIODIC | DATE : %TDD-MM-YYYY | TIME : %Thh:mm:ss | REAL : %5.1f %RF060406 | REAL : %5.1f %RF060410 | REAL : %5.1f %RF060418 | INT : %5.1d %RW059764 | REAL : %5.1f %RF060414 | INT : %5.1d %RW059762 | REAL : %5.1f %RF060398 | REAL : %5.1f %RF060394 | REAL : %5.1f %RF060390 | REAL : %5.1f %RF060402 | REAL : %5.1f %RF060422 | REAL : %5.1f %RF061477 | INT : %5.1d %RW059732 | INT : %5d %RW059736 | REAL : %7.3f %RF060997 | STRING : %.20s %R057414 | ,;
DATUM;ÈAS;TC1 vystup;TC1 zpatecka;TC1 kond;TC1 tlak kond;TC1 vypar;TC1 tlak vypar;TC1 pr. pary;TC1 vyparnik 1;TC1 venkovni;TC1 sani;TC1 preh.v sani;TC1 otevr.EEV;TC1 proud;TC1 ot.komp.;TC1 prutok;stav TC1
10-01-2024;00:00:00; 29,9; 23,1;  6,8;  8,9;  7,9;  9,2; 38,5;  7,5;  6,7; 34,7; 26,7; 46,0;  0,1;    0;  0,000;pøipraven;
10-01-2024;00:01:00; 29,8; 23,0;  6,8;  8,9;  7,6;  9,1; 38,3;  7,4;  6,5; 34,5; 26,9; 46,0;  0,0;    0;  0,000;pøipraven;
10-01-2024;00:02:00; 29,6; 23,0;  6,8;  8,9;  7,6;  9,1; 38,2;  7,4;  6,6; 34,4; 26,8; 46,0;  0,0;    0;  0,000;pøipraven;
10-01-2024;00:03:00; 29,5; 22,9;  6,8;  8,9;  7,6;  9,1; 37,9;  7,4;  6,7; 34,1; 26,5; 46,0;  0,0;    0;  0,000;pøipraven;
10-01-2024;00:04:00; 29,3; 22,8;  6,8;  8,9;  7,6;  9,1; 37,7;  7,4;  6,7; 34,0; 26,4; 46,0;  0,0;    0;  0,000;pøipraven;
10-01-2024;00:05:00; 29,2; 22,8;  6,8;  8,9;  7,6;  9,1; 37,5;  7,4;  6,5; 33,8; 26,2; 46,0;  0,0;    0;  0,000;pøipraven;
10-01-2024;00:06:00; 29,0; 22,6;  6,5;  8,8;  7,6;  9,1; 37,3;  7,3;  6,5; 33,7; 26,1; 46,0;  0,0;    0;  0,000;pøipraven;
10-01-2024;00:07:00; 28,9; 22,6;  6,5;  8,8;  7,6;  9,1; 37,2;  7,3;  6,6; 33,6; 26,0; 46,0;  0,0;    0;  0,000;pøipraven;
10-01-2024;00:08:00; 28,7; 22,5;  6,5;  8,8;  7,6;  9,1; 36,9;  7,3;  6,8; 33,5; 25,8; 46,0;  0,0;    0;  0,000;pøipraven;
10-01-2024;00:09:00; 28,6; 22,5;  6,5;  8,8;  7,6;  9,1; 36,7;  7,4;  6,7; 33,3; 25,7; 46,0;  0,1;    0;  0,000;pøipraven;
10-01-2024;00:10:00; 28,4; 22,3;  6,5;  8,8;  7,6;  9,1; 36,5;  7,3;  6,6; 33,2; 25,6; 46,0;  0,0;    0;  0,000;pøipraven;
10-01-2024;00:11:00; 28,3; 22,3;  6,5;  8,8;  7,6;  9,1; 36,3;  7,3;  6,7; 32,9; 25,3; 46,0;  0,0;    0;  0,000;pøipraven;
10-01-2024;00:12:00; 28,3; 22,2;  6,5;  8,8;  7,6;  9,1; 36,1;  7,3;  6,8; 32,8; 25,2; 46,0;  0,0;    0;  0,000;pøipraven;
10-01-2024;00:13:00; 28,3; 22,0;  6,5;  8,8;  7,6;  9,1; 35,9;  7,3;  6,7; 32,6; 25,0; 46,0;  0,0;    0;  0,000;pøipraven;
10-01-2024;00:14:00; 28,2; 21,8;  6,5;  8,8;  7,6;  9,1; 35,8;  7,3;  6,5; 32,5; 24,9; 46,0;  0,0;    0;  0,000;pøipraven;
10-01-2024;00:15:00; 28,0; 21,7;  6,5;  8,8;  7,6;  9,1; 35,6;  7,2;  6,5; 32,4; 24,8; 46,0;  0,1;    0;  0,000;pøipraven;
10-01-2024;00:16:00; 27,9; 21,6;  6,5;  8,8;  7,6;  9,1; 35,4;  7,2;  6,6; 32,2; 24,6; 46,0;  0,0;    0;  0,000;pøipraven;
10-01-2024;00:17:00; 27,8; 21,5;  6,5;  8,8;  7,6;  9,1; 35,2;  7,3;  6,6; 32,1; 24,5; 46,0;  0,0;    0;  0,000;pøipraven;
10-01-2024;00:18:00; 27,6; 21,4;  6,5;  8,8;  7,6;  9,1; 35,1;  7,2;  6,5; 31,9; 24,2; 46,0;  0,1;    0;  0,000;pøipraven;
10-01-2024;00:19:00; 27,5; 21,4;  6,5;  8,8;  7,6;  9,1; 34,8;  7,2;  6,4; 31,7; 24,1; 46,0;  0,0;    0;  0,000;pøipraven;
10-01-2024;00:20:00; 27,4; 21,3;  6,5;  8,8;  7,6;  9,1; 34,7;  7,2;  6,6; 31,6; 24,0; 46,0;  0,0;    0;  0,000;pøipraven;
10-01-2024;00:21:00; 27,3; 21,2;  6,5;  8,8;  7,6;  9,1; 34,4;  7,2;  6,6; 31,5; 23,9; 46,0;  0,0;    0;  0,000;pøipraven;
10-01-2024;00:22:00; 27,1; 21,2;  6,5;  8,8;  7,6;  9,1; 34,3;  7,2;  6,6; 31,3; 23,7; 46,0;  0,0;    0;  0,000;pøipraven;
10-01-2024;00:23:00; 27,0; 21,1;  6,5;  8,8;  7,6;  9,1; 34,2;  7,2;  6,5; 31,2; 23,6; 46,0;  0,0;    0;  0,000;pøipraven;
10-01-2024;00:24:00; 26,9; 21,0;  6,5;  8,8;  7,6;  9,1; 34,0;  7,1;  6,6; 31,1; 23,5; 46,0;  0,0;    0;  0,000;pøipraven;
