Datum;Čas;dew_1;dew_2;elektromery_ABB[1].status.frequency;elektromery_ABB[1].status.L1.coefficient;elektromery_ABB[1].status.L1.current;elektromery_ABB[1].status.L1.powerActive;elektromery_ABB[1].status.L1.voltage;elektromery_ABB[1].status.L2.coefficient;elektromery_ABB[1].status.L2.current;elektromery_ABB[1].status.L2.powerActive;elektromery_ABB[1].status.L2.voltage;elektromery_ABB[1].status.L3.coefficient;elektromery_ABB[1].status.L3.current;elektromery_ABB[1].status.L3.powerActive;elektromery_ABB[1].status.L3.voltage;elektromery_ABB[1].status.total.powerActive;elektromery_ABB[2].status.frequency;elektromery_ABB[2].status.L1.coefficient;elektromery_ABB[2].status.L1.current;elektromery_ABB[2].status.L1.powerActive;elektromery_ABB[2].status.L1.voltage;elektromery_ABB[2].status.L2.coefficient;elektromery_ABB[2].status.L2.current;elektromery_ABB[2].status.L2.powerActive;elektromery_ABB[2].status.L2.voltage;elektromery_ABB[2].status.L3.coefficient;elektromery_ABB[2].status.L3.current;elektromery_ABB[2].status.L3.powerActive;elektromery_ABB[2].status.L3.voltage;elektromery_ABB[2].status.total.powerActive;elektromery_ABB[3].status.frequency;elektromery_ABB[3].status.L1.coefficient;elektromery_ABB[3].status.L1.current;elektromery_ABB[3].status.L1.powerActive;elektromery_ABB[3].status.L1.voltage;elektromery_ABB[3].status.L2.coefficient;elektromery_ABB[3].status.L2.current;elektromery_ABB[3].status.L2.powerActive;elektromery_ABB[3].status.L2.voltage;elektromery_ABB[3].status.L3.coefficient;elektromery_ABB[3].status.L3.current;elektromery_ABB[3].status.L3.powerActive;elektromery_ABB[3].status.L3.voltage;elektromery_ABB[3].status.total.powerActive;elektromery_ABB[4].status.frequency;elektromery_ABB[4].status.L1.coefficient;elektromery_ABB[4].status.L1.current;elektromery_ABB[4].status.L1.powerActive;elektromery_ABB[4].status.L1.voltage;elektromery_ABB[4].status.total.powerActive;elektromery_ABB[5].status.frequency;elektromery_ABB[5].status.L1.coefficient;elektromery_ABB[5].status.L1.current;elektromery_ABB[5].status.L1.powerActive;elektromery_ABB[5].status.L1.voltage;elektromery_ABB[5].status.total.powerActive;elektromery_ABB[6].status.frequency;elektromery_ABB[6].status.L1.coefficient;elektromery_ABB[6].status.L1.current;elektromery_ABB[6].status.L1.powerActive;elektromery_ABB[6].status.L1.voltage;elektromery_ABB[6].status.total.powerActive;FM_Calio[1].control.measuredValue;FM_Calio[2].control.measuredValue;FM_Calio[3].control.measuredValue;FM_Calio[4].control.measuredValue;FM_Calio[5].control.measuredValue;FM_Invertek[1].control.measuredValue;FM_Invertek[2].control.measuredValue;FM_Invertek[3].control.measuredValue;FM_Invertek[4].control.measuredValue;FM_Invertek[5].control.measuredValue;FM_Invertek[6].control.PID.band_size;FM_Invertek[7].control.measuredValue;FM_PumpDrive[1].control.measuredValue;FM_PumpDrive[2].control.measuredValue;h1_teplota;h1_vlhkost;h2_teplota;h2_vlhkost;humidity_1;humidity_2;chlazeniM1.setTemp;chlazeniM1a.setPumpSpeed;chlazeniM1a.setTemp;chlazeniM1b.setPumpSpeed;chlazeniM1b.setTemp;chlazeniM2.setPumpSpeed;chlazeniM2.setTemp;ohrevNadrze.measuredValue;ohrevNadrze.setTemp;p21;p22;p23;p24;p26;p29;prutokomery_ComacCal[1].status.coefficient;prutokomery_ComacCal[1].status.flow;prutokomery_ComacCal[2].status.coefficient;prutokomery_ComacCal[2].status.flow;prutokomery_ComacCal[3].status.coefficient;prutokomery_ComacCal[3].status.flow;T1_1;T1_2;t10_1;t10_2;t10_3;t10_4;t10_prumer;T2_1;T2_2;t21;t22;t23;t24;t25;t26;T28L_1;T28L_2;T28P_1;T28P_2;t29;T3;T30_1;T30_2;t31;t32;t33;t34;T4;t40;T5;t50_prumer;t51;t52;t53;t54;t55;t56;t60;Ti1;Ti10;Ti11;Ti12;Ti13;Ti14;Ti15;Ti16;Ti17;Ti18;Ti19;Ti2;Ti20;Ti21;Ti22;Ti23;Ti24;Ti25;Ti26;Ti27;Ti28;Ti29;Ti3;Ti31;Ti4;Ti5;Ti6;Ti7;Ti8;Ti9;V_101;V_102;V_201;V_202;vykonVoda.COP;vykonVoda.counterEnergy;vykonVoda.counterVolume;vykonVoda.power;vykonVoda.resetCounterEnergy;vykonVoda.resetCounterVolume;vykonVoda.sensorFlow;vykonVoda.sensorTempHigh;vykonVoda.sensorTempLow;vykonVoda.valueFlow;vykonVoda.valueTempHigh;vykonVoda.valueTempLow;vykonZeme.COP;vykonZeme.counterEnergy;vykonZeme.counterVolume;vykonZeme.power;vykonZeme.resetCounterEnergy;vykonZeme.resetCounterVolume;vykonZeme.sensorFlow;vykonZeme.sensorTempHigh;vykonZeme.sensorTempLow;vykonZeme.valueFlow;vykonZeme.valueTempHigh;vykonZeme.valueTempLow;wet_1;wet_2
10.1.2024;0:00:30;-3,12;-3,07;50,12;-15;-0,45;54,45;236,3;-15;0;0;236,6;-15;0;0;237,3;54,45;0;-10;0;0;0;-10;0;0;0;-10;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;8,09;45,02;8,07;45,26;3,13;3,14;0;0;0;0;0;80;-10;20,6;0;-3;-3;-3;-3;-3;-3;1;0;1;1,28;1;5,45;19,82;20,63;6,72;6,78;6,76;6,91;6,8;20,97;15,75;400;400;400;400;400;400;20,23;20,78;21,4;21,32;400;-90;6,77;6,7;400;400;7,04;6,89;-90;7,19;-90;15,22;15,2;15,16;14,9;15,45;15,29;15,29;20,43;-8,88;0,78;3,06;1,3;28,27;24,21;20,5;20,82;21,73;20,73;21,23;15,78;21,23;20,65;21,84;21,48;16,69;20,96;20,87;25,97;21,72;20,6;16,2;72,23;-8,36;15,52;15,69;15,75;15,74;1,03;0,1;0;1,28;5,45;-0,31;-1285;6619;-17,13;0;0;4;50;49;0,1;6,89;7,04;0;0;0;0;0;0;1;47;48;0;400;400;3,22;3,43
10.1.2024;0:01:30;-3,18;-3,01;50,11;-15;-0,45;43,95;235,5;-15;0;0;235,7;-15;0;0;236,7;43,95;0;-10;0;0;0;-10;0;0;0;-10;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,14;0;8,1;44,81;8,18;45,15;3,11;3,15;0;0;0;0;0;80;-10;20,6;0;-3;-3;-3;-3;-3;-3;1;0;1;1,27;1;5,45;19,83;20,63;6,86;6,91;6,9;7,05;6,93;20,97;15,75;400;400;400;400;400;400;20,23;20,78;21,4;21,32;400;-90;6,99;6,83;400;400;7,16;7,02;-90;7,29;-90;15,22;15,2;15,16;14,91;15,46;15,29;15,29;20,43;-8,91;0,2;3,07;0,94;28,25;24,22;20,49;20,82;21,73;20,74;21,24;15,79;21,23;20,65;21,84;21,48;16,69;20,95;20,87;25,94;21,73;20,6;16,2;72,49;-8,33;15,52;15,69;15,75;15,74;0,84;0,14;0;1,27;5,45;-0,57;-1286;6621;-23,75;0;0;4;50;49;0,14;7,02;7,16;0;0;0;0;0;0;1;47;48;0;400;400;1,4;3,5
10.1.2024;0:02:30;-3,21;-3,1;50,11;-15;-0,45;43,2;235,6;-15;0;0;235,8;-15;0;0;236,7;43,2;0;-10;0;0;0;-10;0;0;0;-10;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,14;0;8,12;44,65;8,15;44,93;3,11;3,13;0;0;0;0;0;80;-10;20,6;0;-3;-3;-3;-3;-3;-3;1;0;1;1,27;1;5,45;19,83;20,63;6,57;6,75;6,74;6,9;6,74;20,97;15,75;400;400;400;400;400;400;20,23;20,78;21,4;21,32;400;-90;6,83;6,39;400;400;7,02;6,85;-90;7,25;-90;15,22;15,2;15,16;14,91;15,46;15,3;15,29;20,43;-8,91;-0,6;2,93;0,37;28,24;24,22;20,5;20,83;21,73;20,73;21,24;15,8;21,24;20,65;21,83;21,48;16,69;20,96;20,87;25,95;21,73;20,6;16,21;72,53;-8,27;15,54;15,7;15,75;15,74;0,46;0,14;0;1,26;5,45;-0,61;-1286;6623;-27,67;0;0;4;50;49;0,14;6,84;7,01;0;0;0;0;0;0;1;47;48;0;400;400;3,21;1,45
10.1.2024;0:03:30;-3,53;-3,34;50,08;-15;-0,45;53,25;236;-15;0;0;236,2;-15;0;0;237,1;53,25;0;-10;0;0;0;-10;0;0;0;-10;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,14;0;7,78;44,61;7,91;44,87;3,03;3,08;0;0;0;0;0;80;-10;20,6;0;-3;-3;-3;-3;-3;-3;1;0;1;1,26;1;5,45;19,82;20,63;6,24;6,48;6,47;6,63;6,46;20,96;15,75;400;400;400;400;400;400;20,23;20,78;21,41;21,32;400;-90;6,5;5,94;400;400;6,78;6,6;-90;7,11;-90;15,22;15,19;15,16;14,9;15,46;15,29;15,29;20,43;-8,91;-1,23;2,62;-0,15;28,24;24,22;20,5;20,83;21,73;20,74;21,23;15,8;21,23;20,64;21,83;21,47;16,69;20,95;20,87;25,96;21,73;20,6;16,21;71,86;-8,22;15,49;15,67;15,74;15,73;0,01;0,14;0;1,26;5,45;-0,53;-1286;6625;-29,02;0;0;4;50;49;0,14;6,61;6,78;0;0;0;0;0;0;1;47;48;0;400;400;2,93;3,06
10.1.2024;0:04:30;-3,49;-3,3;50,04;-15;-0,3;42,6;236;-15;0;0;236,2;-15;0;0;237,1;42,6;0;-10;0;0;0;-10;0;0;0;-10;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,14;0;7,74;44,86;7,83;45,23;3,04;3,09;0;0;0;0;0;80;-10;20,6;0;-3;-3;-3;-3;-3;-3;1;0;1;1,26;1;5,45;19,82;20,63;6,36;6,51;6,49;6,66;6,51;20,97;15,75;400;400;400;400;400;400;20,24;20,78;21,42;21,33;400;-90;6,51;6,2;400;400;6,79;6,63;-90;7,07;-90;15,22;15,2;15,15;14,9;15,46;15,28;15,3;20,44;-8,89;-1,75;2,19;-0,66;28,24;24,22;20,5;20,83;21,73;20,74;21,23;15,81;21,24;20,63;21,81;21,47;16,68;20,95;20,87;25,98;21,73;20,6;16,22;70,78;-8,19;15,49;15,68;15,75;15,73;-0,44;0,14;0;1,26;5,45;-0,65;-1287;6627;-27,64;0;0;4;50;49;0,14;6,63;6,8;0;0;0;0;0;0;1;47;48;0;400;400;3,12;3,02
10.1.2024;0:05:30;-3,33;-3,21;50,06;-15;-0,3;42;235,9;-15;0;0;236,1;-15;0;0;236,9;42;0;-10;0;0;0;-10;0;0;0;-10;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,11;0;7,87;45,01;7,93;45,25;3,08;3,11;0;0;0;0;0;80;-10;20,6;0;-3;-3;-3;-3;-3;-3;1;0;1;1,26;1;5,45;19,83;20,63;6,6;6,69;6,66;6,82;6,69;20,98;15,75;400;400;400;400;400;400;20,24;20,78;21,41;21,32;400;-90;6,7;6,57;400;400;6,94;6,78;-90;7,13;-90;15,22;15,2;15,16;14,91;15,46;15,29;15,3;20,44;-8,86;-1,8;1,78;-0,91;28,22;24,22;20,5;20,83;21,73;20,73;21,23;15,81;21,24;20,61;21,8;21,47;16,69;20,96;20,87;25,9;21,72;20,6;16,22;70,28;-8,2;15,48;15,68;15,75;15,73;-0,78;0,11;0;1,26;5,45;-0,48;-1287;6629;-20,25;0;0;4;50;49;0,11;6,79;6,95;0;0;0;0;0;0;1;47;48;0;400;400;3,04;3,31
10.1.2024;0:06:30;-3,1;-3,07;50,03;-15;-0,45;51,3;236,2;-15;0;0;236,6;-15;0;0;237,2;56,25;0;-10;0;0;0;-10;0;0;0;-10;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,11;0;8,11;45,04;8,09;45,23;3,13;3,14;0;0;0;0;0;80;-10;20,6;0;-3;-3;-3;-3;-3;-3;1;0;1;1,26;1;5,45;19,82;20,63;6,74;6,8;6,78;6,95;6,82;20,98;15,76;400;400;400;400;400;400;20,23;20,78;21,4;21,32;400;-90;6,87;6,74;400;400;7,06;6,91;-90;7,21;-90;15,22;15,2;15,16;14,92;15,46;15,29;15,3;20,44;-8,82;-1,63;1,51;-0,92;28,2;24,22;20,5;20,82;21,73;20,74;21,23;15,82;21,23;20,61;21,8;21,47;16,69;20,96;20,87;25,88;21,73;20,6;16,22;70,47;-8,23;15,48;15,68;15,75;15,73;-0,92;0,11;0;1,26;5,45;-0,34;-1288;6631;-19,04;0;0;4;50;49;0,11;6,91;7,06;0;0;0;0;0;0;1;47;48;0;400;400;3,44;3,44
10.1.2024;0:07:30;-3,36;-3,33;50,02;-15;-0,45;58,8;236;-15;0;0;236,6;-15;0;0;237,1;58,8;0;-10;0;0;0;-10;0;0;0;-10;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;7,98;44,58;7,91;44,89;3,07;3,08;0;0;0;0;0;80;-10;20,6;0;-3;-3;-3;-3;-3;-3;1;0;1;1,25;1;5,45;19,83;20,63;6,44;6,62;6,62;6,77;6,62;20,99;15,75;400;400;400;400;400;400;20,23;20,78;21,39;21,32;400;-90;6,68;6,27;400;400;6,9;6,75;-90;7,17;-90;15,22;15,2;15,16;14,91;15,46;15,28;15,3;20,44;-8,78;-1,33;1,4;-0,78;28,19;24,22;20,49;20,83;21,73;20,74;21,23;15,83;21,24;20,61;21,78;21,48;16,69;20,96;20,87;25,9;21,73;20,6;16,22;70,91;-8,25;15,49;15,68;15,75;15,73;-0,91;0,1;0;1,25;5,45;-0,31;-1288;6634;-18,17;0;0;4;50;49;0,1;6,75;6,9;0;0;0;0;0;0;1;47;48;0;400;400;1,28;3,26
10.1.2024;0:08:30;-3,5;-3,29;50,03;-15;-0,45;49,35;236,1;-15;0;0;236,4;-15;0;0;237,2;49,35;0;-10;0;0;0;-10;0;0;0;-10;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,14;0;7,75;44,73;7,86;44,97;3,04;3,07;0;0;0;0;0;80;-10;20,6;0;-3;-3;-3;-3;-3;-3;1;0;1;1,25;1;5,46;19,83;20,63;6,3;6,49;6,49;6,65;6,48;21;15,75;400;400;400;400;400;400;20,23;20,78;21,4;21,32;400;-90;6,48;6,13;400;400;6,79;6,63;-90;7,08;-90;15,22;15,2;15,16;14,91;15,47;15,28;15,3;20,44;-8,78;-0,97;1,4;-0,53;28,17;24,22;20,49;20,82;21,73;20,74;21,24;15,84;21,24;20,61;21,77;21,48;16,69;20,95;20,87;25,9;21,73;20,6;16,23;71,3;-8,28;15,49;15,68;15,75;15,72;-0,79;0,13;0;1,26;5,45;-0,54;-1288;6636;-26,18;0;0;4;50;49;0,14;6,62;6,79;0;0;0;0;0;0;1;47;48;0;400;400;3,13;3,27
10.1.2024;0:09:30;-3,49;-3,37;50,01;-15;-0,45;48,3;235,9;-15;0;0;236,3;-15;0;0;237,2;48,3;0;-10;0;0;0;-10;0;0;0;-10;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,14;0;7,86;44,98;7,86;45,18;3,08;3,09;0;0;0;0;0;80;-10;20,6;0;-3;-3;-3;-3;-3;-3;1;0;1;1,27;1;5,45;19,83;20,63;6,58;6,66;6,64;6,81;6,68;21;15,75;400;400;400;400;400;400;20,23;20,78;21,4;21,32;400;-90;6,68;6,56;400;400;6,92;6,77;-90;7,11;-90;15,22;15,2;15,16;14,92;15,47;15,28;15,31;20,44;-8,81;-0,57;1,5;-0,23;28,17;24,22;20,5;20,82;21,73;20,74;21,24;15,85;21,24;20,61;21,76;21,48;16,69;20,96;20,87;25,88;21,73;20,6;16,24;71,57;-8,31;15,49;15,68;15,75;15,73;-0,6;0,13;0;1,27;5,45;-0,48;-1289;6638;-23,12;0;0;4;50;49;0,13;6,77;6,92;0;0;0;0;0;0;1;47;48;0;400;400;3,13;3,2
