Datum;Čas;dew_1;dew_2;elektromery_ABB[1].status.frequency;elektromery_ABB[1].status.L1.coefficient;elektromery_ABB[1].status.L1.current;elektromery_ABB[1].status.L1.powerActive;elektromery_ABB[1].status.L1.voltage;elektromery_ABB[1].status.L2.coefficient;elektromery_ABB[1].status.L2.current;elektromery_ABB[1].status.L2.powerActive;elektromery_ABB[1].status.L2.voltage;elektromery_ABB[1].status.L3.coefficient;elektromery_ABB[1].status.L3.current;elektromery_ABB[1].status.L3.powerActive;elektromery_ABB[1].status.L3.voltage;elektromery_ABB[1].status.total.powerActive;elektromery_ABB[2].status.frequency;elektromery_ABB[2].status.L1.coefficient;elektromery_ABB[2].status.L1.current;elektromery_ABB[2].status.L1.powerActive;elektromery_ABB[2].status.L1.voltage;elektromery_ABB[2].status.L2.coefficient;elektromery_ABB[2].status.L2.current;elektromery_ABB[2].status.L2.powerActive;elektromery_ABB[2].status.L2.voltage;elektromery_ABB[2].status.L3.coefficient;elektromery_ABB[2].status.L3.current;elektromery_ABB[2].status.L3.powerActive;elektromery_ABB[2].status.L3.voltage;elektromery_ABB[2].status.total.powerActive;elektromery_ABB[3].status.frequency;elektromery_ABB[3].status.L1.coefficient;elektromery_ABB[3].status.L1.current;elektromery_ABB[3].status.L1.powerActive;elektromery_ABB[3].status.L1.voltage;elektromery_ABB[3].status.L2.coefficient;elektromery_ABB[3].status.L2.current;elektromery_ABB[3].status.L2.powerActive;elektromery_ABB[3].status.L2.voltage;elektromery_ABB[3].status.L3.coefficient;elektromery_ABB[3].status.L3.current;elektromery_ABB[3].status.L3.powerActive;elektromery_ABB[3].status.L3.voltage;elektromery_ABB[3].status.total.powerActive;elektromery_ABB[4].status.frequency;elektromery_ABB[4].status.L1.coefficient;elektromery_ABB[4].status.L1.current;elektromery_ABB[4].status.L1.powerActive;elektromery_ABB[4].status.L1.voltage;elektromery_ABB[4].status.total.powerActive;elektromery_ABB[5].status.frequency;elektromery_ABB[5].status.L1.coefficient;elektromery_ABB[5].status.L1.current;elektromery_ABB[5].status.L1.powerActive;elektromery_ABB[5].status.L1.voltage;elektromery_ABB[5].status.total.powerActive;elektromery_ABB[6].status.frequency;elektromery_ABB[6].status.L1.coefficient;elektromery_ABB[6].status.L1.current;elektromery_ABB[6].status.L1.powerActive;elektromery_ABB[6].status.L1.voltage;elektromery_ABB[6].status.total.powerActive;FM_Calio[1].control.measuredValue;FM_Calio[2].control.measuredValue;FM_Calio[3].control.measuredValue;FM_Calio[4].control.measuredValue;FM_Calio[5].control.measuredValue;FM_Invertek[1].control.measuredValue;FM_Invertek[2].control.measuredValue;FM_Invertek[3].control.measuredValue;FM_Invertek[4].control.measuredValue;FM_Invertek[5].control.measuredValue;FM_Invertek[6].control.PID.band_size;FM_Invertek[7].control.measuredValue;FM_PumpDrive[1].control.measuredValue;FM_PumpDrive[2].control.measuredValue;h1_teplota;h1_vlhkost;h2_teplota;h2_vlhkost;humidity_1;humidity_2;chlazeniM1.setTemp;chlazeniM1a.setPumpSpeed;chlazeniM1a.setTemp;chlazeniM1b.setPumpSpeed;chlazeniM1b.setTemp;chlazeniM2.setPumpSpeed;chlazeniM2.setTemp;ohrevNadrze.measuredValue;ohrevNadrze.setTemp;p21;p22;p23;p24;p26;p29;prutokomery_ComacCal[1].status.coefficient;prutokomery_ComacCal[1].status.flow;prutokomery_ComacCal[2].status.coefficient;prutokomery_ComacCal[2].status.flow;prutokomery_ComacCal[3].status.coefficient;prutokomery_ComacCal[3].status.flow;T1_1;T1_2;t10_1;t10_2;t10_3;t10_4;t10_prumer;T2_1;T2_2;t21;t22;t23;t24;t25;t26;T28L_1;T28L_2;T28P_1;T28P_2;t29;T3;T30_1;T30_2;t31;t32;t33;t34;T4;t40;T5;t50_prumer;t51;t52;t53;t54;t55;t56;t60;Ti1;Ti10;Ti11;Ti12;Ti13;Ti14;Ti15;Ti16;Ti17;Ti18;Ti19;Ti2;Ti20;Ti21;Ti22;Ti23;Ti24;Ti25;Ti26;Ti27;Ti28;Ti29;Ti3;Ti31;Ti4;Ti5;Ti6;Ti7;Ti8;Ti9;V_101;V_102;V_201;V_202;vykonVoda.COP;vykonVoda.counterEnergy;vykonVoda.counterVolume;vykonVoda.power;vykonVoda.resetCounterEnergy;vykonVoda.resetCounterVolume;vykonVoda.sensorFlow;vykonVoda.sensorTempHigh;vykonVoda.sensorTempLow;vykonVoda.valueFlow;vykonVoda.valueTempHigh;vykonVoda.valueTempLow;vykonZeme.COP;vykonZeme.counterEnergy;vykonZeme.counterVolume;vykonZeme.power;vykonZeme.resetCounterEnergy;vykonZeme.resetCounterVolume;vykonZeme.sensorFlow;vykonZeme.sensorTempHigh;vykonZeme.sensorTempLow;vykonZeme.valueFlow;vykonZeme.valueTempHigh;vykonZeme.valueTempLow;wet_1;wet_2
11.1.2024;0:00:30;0,22;0,36;50,11;-15;-0,45;59,7;238,2;-15;0;0;238,4;-15;0;0;239,2;59,7;0;-10;0;0;0;-10;0;0;0;-10;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,83;51,19;9,79;51,84;4,02;4,06;0;0;0;0;0;80;-10;20,68;0;-3;-3;-3;-3;-3;-3;1;0;1;1,47;1;5,46;19,95;21,14;10,15;9,8;9,83;9,89;9,91;21,25;14,78;400;400;400;400;400;400;20,24;20,81;21,37;21,3;400;-90;9,77;10,78;400;400;10,09;10,03;-90;9,93;-90;13,76;13,63;13,58;13,42;14,22;13,68;14,04;20,79;-9,04;4,2;5,94;4,53;26,71;24,74;20,88;21,19;22,14;21,16;21,72;20,44;21,72;21,58;20,4;21,81;18,2;21,26;21,17;23,99;22,44;20,68;19,8;65,57;-8,57;14,57;14,72;14,76;14,78;4,19;0;0;1,47;5,46;0;-2456;12803;0,00;0;0;4;50;49;0;10,03;10,08;0;0;0;0;0;0;1;47;48;0;400;400;5,22;5,25
11.1.2024;0:01:30;0,16;0,33;50,1;-15;-0,3;42,9;238,4;-15;0;0;238,5;-15;0;0;239,5;42,9;0;-10;0;0;0;-10;0;0;0;-10;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,93;50,59;9,93;51,28;4;4,06;0;0;0;0;0;80;-10;20,68;0;-3;-3;-3;-3;-3;-3;1;0;1;1,47;1;5,45;19,95;21,14;9,95;9,77;9,82;9,86;9,85;21,25;14,78;400;400;400;400;400;400;20,24;20,82;21,37;21,31;400;-90;9,72;10,34;400;400;10,06;10;-90;10,03;-90;13,77;13,63;13,58;13,43;14,23;13,69;14,05;20,79;-9,05;3,72;5,98;4,23;26,7;24,74;20,89;21,2;22,14;21,16;21,72;20,44;21,71;21,58;20,39;21,81;18,2;21,26;21,16;23,98;22,44;20,69;19,8;65,77;-8,53;14,56;14,72;14,77;14,78;4,03;0;0;1,47;5,45;0;-2456;12803;0,00;0;0;4;50;49;0;10;10,06;0;0;0;0;0;0;1;47;48;0;400;400;3,43;5,51
11.1.2024;0:02:30;0,15;0,34;50,1;-15;-0,45;57,6;238,2;-15;0;0;238,5;-15;0;0;239,3;57,6;0;-10;0;0;0;-10;0;0;0;-10;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,96;50,5;9,95;51,2;4;4,06;0;0;0;0;0;80;-10;20,68;0;-3;-3;-3;-3;-3;-3;1;0;1;1,46;1;5,46;19,95;21,14;9,47;9,48;9,55;9,58;9,51;21,25;14,78;400;400;400;400;400;400;20,23;20,81;21,37;21,31;400;-90;9,37;9,61;400;400;9,78;9,7;-90;9,93;-90;13,77;13,63;13,58;13,45;14,24;13,69;14,04;20,79;-9,04;2,94;5,82;3,66;26,68;24,73;20,88;21,19;22,14;21,16;21,72;20,44;21,72;21,57;20,39;21,81;18,19;21,27;21,16;23,96;22,44;20,68;19,81;65,93;-8,46;14,57;14,72;14,77;14,78;3,67;0;0;1,46;5,46;0;-2456;12803;0,00;0;0;4;50;49;0;9,72;9,79;0;0;0;0;0;0;1;47;48;0;400;400;3,46;5,32
11.1.2024;0:03:30;0,08;0,15;50,04;-15;-0,45;50,85;237,8;-15;0;0;238,1;-15;0;0;239,1;50,85;0;-10;0;0;0;-10;0;0;0;-10;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,77;50,87;9,65;51,54;3,98;4;0;0;0;0;0;80;-10;20,68;0;-3;-3;-3;-3;-3;-3;1;0;1;1,45;1;5,45;19,96;21,14;8,93;9,06;9,13;9,17;9,09;21,26;14,78;400;400;400;400;400;400;20,24;20,82;21,36;21,3;400;-90;8,97;8,85;400;400;9,4;9,3;-90;9,74;-90;13,78;13,64;13,59;13,45;14,25;13,7;14,06;20,79;-9,02;2,08;5,5;2,92;26,67;24,73;20,88;21,19;22,14;21,16;21,72;20,45;21,72;21,57;20,38;21,81;18,2;21,26;21,17;23,95;22,45;20,69;19,8;66,13;-8,36;14,57;14,72;14,77;14,77;3,16;0;0;1,45;5,45;0;-2456;12803;0,01;0;0;4;50;49;0;9,31;9,41;0;0;0;0;0;0;1;47;48;0;400;400;5,14;5,31
11.1.2024;0:04:30;-0,26;-0,72;50,03;-15;-0,3;42,6;237,9;-15;0;0;238;-15;0;0;239,3;42,6;0;-10;0;0;0;-10;0;0;0;-10;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,54;51,47;9,51;52,08;3,97;4;0;0;0;0;0;80;-10;20,68;0;-3;-3;-3;-3;-3;-3;1;0;1;1,45;1;5,46;19,95;21,13;9,09;9,06;9,11;9,17;9,1;21,25;14,77;400;400;400;400;400;400;20,23;20,82;21,36;21,31;400;-90;8,86;9,27;400;400;9,39;9,29;-90;9,62;-90;13,78;13,65;13,6;13,46;14,25;13,7;14,05;20,79;-8,99;1,32;4,95;2,23;26,65;24,73;20,88;21,19;22,13;21,15;21,71;20,44;21,72;21,56;20,37;21,81;18,19;21,26;21,16;23,93;22,44;20,68;19,8;66,45;-8,29;14,54;14,71;14,76;14,77;2,57;0;0;1,45;5,46;0;-2456;12803;0,01;0;0;4;50;49;0;9,28;9,37;0;0;0;0;0;0;1;47;48;0;400;400;5,11;4,39
11.1.2024;0:05:30;0,25;0,31;50,03;-15;-0,45;42,75;238;-15;0;0;238,2;-15;0;0;239,3;42,75;0;-10;0;0;0;-10;0;0;0;-10;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,74;51,6;9,67;52,07;4,03;4,05;0;0;0;0;0;80;-10;20,68;0;-3;-3;-3;-3;-3;-3;1;0;1;1,45;1;5,45;19,95;21,13;9,79;9,53;9,54;9,63;9,62;21,25;14,77;400;400;400;400;400;400;20,23;20,82;21,36;21,3;400;-90;9,38;10,45;400;400;9,83;9,75;-90;9,8;-90;13,79;13,65;13,6;13,46;14,26;13,71;14,06;20,79;-8,93;1,08;4,41;1,81;26,63;24,73;20,88;21,19;22,14;21,15;21,72;20,44;21,72;21,55;20,37;21,81;18,19;21,26;21,16;23,92;22,44;20,68;19,79;66,82;-8,25;14,56;14,71;14,76;14,77;2,12;0;0;1,45;5,45;0;-2456;12803;0,01;0;0;4;50;49;0;9,75;9,83;0;0;0;0;0;0;1;47;48;0;400;400;5,39;3,37
11.1.2024;0:06:30;0,23;0,39;50,02;-15;-0,45;51,3;238,3;-15;0;0;238,4;-15;0;0;239,4;51,3;0;-10;0;0;0;-10;0;0;0;-10;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,93;50,74;9,93;51,47;4,03;4,07;0;0;0;0;0;80;-10;20,68;0;-3;-3;-3;-3;-3;-3;1;0;1;1,45;1;5,45;19,96;21,13;9,99;9,74;9,77;9,83;9,83;21,25;14,77;400;400;400;400;400;400;20,24;20,82;21,36;21,31;400;-90;9,66;10,5;400;400;10,03;9,96;-90;9,99;-90;13,79;13,65;13,61;13,47;14,26;13,71;14,07;20,79;-8,86;1,17;4,03;1,72;26,62;24,73;20,88;21,19;22,14;21,16;21,72;20,45;21,71;21,55;20,37;21,81;18,2;21,26;21,16;23,91;22,44;20,68;19,79;67,16;-8,27;14,55;14,71;14,76;14,77;1,88;0;0;1,45;5,45;0;-2456;12803;0,00;0;0;4;50;49;0;9,96;10,03;0;0;0;0;0;0;1;47;48;0;400;400;5,5;3,53
11.1.2024;0:07:30;0,06;-0,5;50;-15;-0,45;46,95;238;-15;0;0;238,2;-15;0;0;239,3;46,95;0;-10;0;0;0;-10;0;0;0;-10;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,91;50,34;9,37;50,08;3,98;3,82;0;0;0;0;0;80;-10;20,68;0;-3;-3;-3;-3;-3;-3;1;0;1;1,45;1;5,46;19,96;21,13;9,55;9,52;9,57;9,62;9,56;21,25;14,76;400;400;400;400;400;400;20,25;20,82;21,37;21,31;400;-90;9,43;9,79;400;400;9,82;9,73;-90;9,95;-90;13,8;13,66;13,61;13,47;14,27;13,71;14,08;20,79;-8,78;1,45;3,87;1,83;26,61;24,74;20,88;21,2;22,14;21,16;21,72;20,45;21,72;21,54;20,37;21,81;18,19;21,26;21,16;23,9;22,44;20,68;19,8;67,47;-8,29;14,55;14,7;14,76;14,77;1,83;0;0;1,45;5,45;0;-2456;12803;0,01;0;0;4;50;49;0;9,72;9,81;0;0;0;0;0;0;1;47;48;0;400;400;5,2;4,73
11.1.2024;0:08:30;-0,16;-1,2;50,01;-15;-0,3;43,8;238;-15;0;0;237,9;-15;0;0;239,1;43,8;0;-10;0;0;0;-10;0;0;0;-10;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,64;49,09;8,7;49,8;3,81;3,63;0;0;0;0;0;80;-10;20,68;0;-3;-3;-3;-3;-3;-3;1;0;1;1,45;1;5,45;19,96;21,13;8,97;9,1;9,16;9,22;9,11;21,25;14,76;400;400;400;400;400;400;20,24;20,83;21,36;21,3;400;-90;8,97;8,98;400;400;9,43;9,33;-90;9,77;-90;13,81;13,67;13,62;13,47;14,27;13,72;14,09;20,79;-8,74;1,85;3,83;2,1;26,6;24,73;20,88;21,19;22,14;21,16;21,72;20,44;21,71;21,53;20,36;21,81;18,18;21,26;21,16;23,89;22,44;20,68;19,8;67,64;-8,3;14,55;14,7;14,75;14,77;1,92;0;0;1,45;5,45;0;-2456;12803;0,01;0;0;4;50;49;0;9,34;9,44;0;0;0;0;0;0;1;47;48;0;400;400;4,36;4,35
11.1.2024;0:09:30;0,04;0,17;50,01;-15;-0,45;43,8;238;-15;0;0;238;-15;0;0;239;52,05;0;-10;0;0;0;-10;0;0;0;-10;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,63;51,25;9,57;51,88;3,97;4,01;0;0;0;0;0;80;-10;20,68;0;-3;-3;-3;-3;-3;-3;1;0;1;1,45;1;5,45;19,96;21,13;8,91;8,96;9;9,07;8,98;21,25;14,76;400;400;400;400;400;400;20,24;20,82;21,37;21,31;400;-90;8,78;9,02;400;400;9,29;9,18;-90;9,6;-90;13,81;13,67;13,62;13,48;14,28;13,72;14,09;20,79;-8,76;2,3;3,91;2,46;26,59;24,74;20,89;21,19;22,14;21,16;21,72;20,45;21,72;21,52;20,35;21,8;18,18;21,26;21,16;23,9;22,44;20,68;19,79;67,58;-8,31;14,55;14,7;14,75;14,77;2,13;0;0;1,45;5,45;0;-2456;12803;0,01;0;0;4;50;49;0;9,18;9,29;0;0;0;0;0;0;1;47;48;0;400;400;5,06;3,27
