 TIME                    	teplota_privod_otopka    	prutok                   	privod                   	
  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.0000000000000000E+01	
  +1.6666666666666666E-02	  -9.9990000000000000E+03	  -9.9990000000000000E+03	  +2.0741349663987034E+01	
  +3.3333333333333333E-02	  +3.3000000000000000E+01	  +1.1390000000000000E+03	  +2.1670054528547006E+01	
  +5.0000000000000003E-02	  +3.3000000000000000E+01	  +1.1390000000000000E+03	  +2.2267902345446384E+01	
  +6.6666666666666666E-02	  +3.3000000000000000E+01	  +1.1380000000000000E+03	  +2.2716448124906378E+01	
  +8.3333333333333329E-02	  +3.3000000000000000E+01	  +1.1390000000000000E+03	  +2.3032297654621072E+01	
  +1.0000000000000001E-01	  +3.3000000000000000E+01	  +1.1380000000000000E+03	  +2.3271237105962417E+01	
  +1.1666666666666667E-01	  +3.3000000000000000E+01	  +1.1390000000000000E+03	  +2.3437751654216324E+01	
  +1.3333333333333333E-01	  +3.3000000000000000E+01	  +1.1370000000000000E+03	  +2.3565158584671416E+01	
  +1.4999999999999999E-01	  +3.3000000000000000E+01	  +1.1390000000000000E+03	  +2.3652672967148799E+01	
  +1.6666666666666666E-01	  +3.4000000000000000E+01	  +1.1380000000000000E+03	  +2.3770045812969034E+01	
  +1.8333333333333332E-01	  +3.4000000000000000E+01	  +1.1370000000000000E+03	  +2.3884237882922889E+01	
  +2.0000000000000001E-01	  +3.4000000000000000E+01	  +1.1370000000000000E+03	  +2.3969527177381465E+01	
  +2.1666666666666667E-01	  +3.4000000000000000E+01	  +1.1360000000000000E+03	  +2.4029703027066830E+01	
  +2.3333333333333334E-01	  +3.4000000000000000E+01	  +1.1390000000000000E+03	  +2.4075069767252597E+01	
  +2.5000000000000000E-01	  +3.4000000000000000E+01	  +1.1380000000000000E+03	  +2.4106662392140510E+01	
  +2.6666666666666666E-01	  +3.4000000000000000E+01	  +1.1380000000000000E+03	  +2.4130793904113389E+01	
  +2.8333333333333333E-01	  +3.5000000000000000E+01	  +1.1360000000000000E+03	  +2.4196648258208818E+01	
  +2.9999999999999999E-01	  +3.5000000000000000E+01	  +1.1370000000000000E+03	  +2.4277899479320936E+01	
  +3.1666666666666665E-01	  +3.5000000000000000E+01	  +1.1360000000000000E+03	  +2.4335353959503696E+01	
  +3.3333333333333331E-01	  +3.5000000000000000E+01	  +1.1350000000000000E+03	  +2.4378561447907991E+01	
  +3.4999999999999998E-01	  +3.5000000000000000E+01	  +1.1370000000000000E+03	  +2.4408796277101899E+01	
  +3.6666666666666664E-01	  +3.5000000000000000E+01	  +1.1380000000000000E+03	  +2.4431783772930100E+01	
  +3.8333333333333336E-01	  +3.5000000000000000E+01	  +1.1360000000000000E+03	  +2.4447627615450532E+01	
  +4.0000000000000002E-01	  +3.5000000000000000E+01	  +1.1370000000000000E+03	  +2.4459847749575154E+01	
  +4.1666666666666669E-01	  +3.5000000000000000E+01	  +1.1370000000000000E+03	  +2.4468089313955819E+01	
  +4.3333333333333335E-01	  +3.5000000000000000E+01	  +1.1350000000000000E+03	  +2.4474594725593533E+01	
  +4.5000000000000001E-01	  +3.5000000000000000E+01	  +1.1380000000000000E+03	  +2.4478840280232458E+01	
  +4.6666666666666667E-01	  +3.5000000000000000E+01	  +1.1350000000000000E+03	  +2.4482283548886777E+01	
  +4.8333333333333334E-01	  +3.5000000000000000E+01	  +1.1360000000000000E+03	  +2.4484418608244123E+01	
  +5.0000000000000000E-01	  +3.5000000000000000E+01	  +1.1350000000000000E+03	  +2.4486232211672906E+01	
  +5.1666666666666672E-01	  +3.5000000000000000E+01	  +1.1370000000000000E+03	  +2.4487274127127783E+01	
  +5.3333333333333333E-01	  +3.5000000000000000E+01	  +1.1360000000000000E+03	  +2.4488227001439565E+01	
  +5.5000000000000004E-01	  +3.5000000000000000E+01	  +1.1360000000000000E+03	  +2.4488709538655222E+01	
  +5.6666666666666665E-01	  +3.5000000000000000E+01	  +1.1360000000000000E+03	  +2.4489204651839810E+01	
  +5.8333333333333337E-01	  +3.5000000000000000E+01	  +1.1350000000000000E+03	  +2.4489398247977189E+01	
  +5.9999999999999998E-01	  +3.6000000000000000E+01	  +1.1360000000000000E+03	  +2.4538994856375730E+01	
  +6.1666666666666670E-01	  +3.5000000000000000E+01	  +1.1370000000000000E+03	  +2.4540328526279907E+01	
  +6.3333333333333330E-01	  +3.6000000000000000E+01	  +1.1370000000000000E+03	  +2.4582623243023004E+01	
  +6.5000000000000002E-01	  +3.6000000000000000E+01	  +1.1370000000000000E+03	  +2.4650213016885630E+01	
  +6.6666666666666663E-01	  +3.6000000000000000E+01	  +1.1350000000000000E+03	  +2.4686993756290907E+01	
  +6.8333333333333335E-01	  +3.6000000000000000E+01	  +1.1360000000000000E+03	  +2.4715582125757301E+01	
  +6.9999999999999996E-01	  +3.6000000000000000E+01	  +1.1350000000000000E+03	  +2.4734890805154798E+01	
  +7.1666666666666667E-01	  +3.6000000000000000E+01	  +1.1360000000000000E+03	  +2.4750206362284388E+01	
  +7.3333333333333328E-01	  +3.5000000000000000E+01	  +1.1370000000000000E+03	  +2.4621872724190332E+01	
  +7.5000000000000000E-01	  +3.5000000000000000E+01	  +1.1360000000000000E+03	  +2.4516064340970175E+01	
  +7.6666666666666672E-01	  +3.5000000000000000E+01	  +1.1350000000000000E+03	  +2.4496879701860710E+01	
  +7.8333333333333333E-01	  +3.5000000000000000E+01	  +1.1360000000000000E+03	  +2.4492854064071285E+01	
  +8.0000000000000004E-01	  +3.5000000000000000E+01	  +1.1340000000000000E+03	  +2.4492367828368497E+01	
  +8.1666666666666665E-01	  +3.6000000000000000E+01	  +1.1330000000000000E+03	  +2.4640080931397886E+01	
  +8.3333333333333337E-01	  +3.6000000000000000E+01	  +1.1340000000000000E+03	  +2.4748060054793164E+01	
  +8.4999999999999998E-01	  +3.6000000000000000E+01	  +1.1310000000000000E+03	  +2.4764542643358116E+01	
  +8.6666666666666670E-01	  +3.6000000000000000E+01	  +1.1300000000000000E+03	  +2.4771485272550393E+01	
  +8.8333333333333330E-01	  +3.7000000000000000E+01	  +1.1300000000000000E+03	  +2.4825244356403946E+01	
  +9.0000000000000002E-01	  +3.7000000000000000E+01	  +1.1310000000000000E+03	  +2.4897382619581848E+01	
  +9.1666666666666663E-01	  +3.7000000000000000E+01	  +1.1290000000000000E+03	  +2.4948592208970183E+01	
  +9.3333333333333335E-01	  +3.7000000000000000E+01	  +1.1310000000000000E+03	  +2.4987006170063481E+01	
  +9.4999999999999996E-01	  +3.7000000000000000E+01	  +1.1310000000000000E+03	  +2.5014068708474618E+01	
  +9.6666666666666667E-01	  +3.6000000000000000E+01	  +1.1350000000000000E+03	  +2.4913164200550948E+01	
  +9.8333333333333328E-01	  +3.6000000000000000E+01	  +1.1360000000000000E+03	  +2.4811872781570059E+01	
  +1.0000000000000000E+00	  +3.5000000000000000E+01	  +1.1340000000000000E+03	  +2.4649261932077319E+01	
  +1.0166666666666666E+00	  +3.6000000000000000E+01	  +1.1350000000000000E+03	  +2.4666042625297731E+01	
