Tecomat F2x CP2005I v2.3.063 DataLogger v1.3 (2024-01-18-00:00:00) : Hot_Dock / Srovnani ! Type : PERIODIC | DATE : %TYYYY-MM-DD | TIME : %Thh:mm:ss | REAL : %3.2f %RF051252 | REAL : %3.2f %RF051426 | REAL : %4.3f %RF051948 | STRING : %s | ,;
DATE;TIME;1_MT_01;1_MT_02;1_MF_01;Text
2024-01-18;00:00:00;16,54;15,06;0,000; Sync 
2024-01-18;00:01:00;16,48;15,02;0,000; Sync 
2024-01-18;00:02:00;16,46;15,00;0,000; Sync 
2024-01-18;00:03:00;16,43;14,99;0,000; Sync 
2024-01-18;00:04:00;16,35;14,91;0,000; Sync 
2024-01-18;00:05:00;16,34;14,90;0,000; Sync 
2024-01-18;00:06:00;16,26;14,85;0,000; Sync 
2024-01-18;00:07:00;16,26;14,85;0,000; Sync 
2024-01-18;00:08:00;16,23;14,81;0,000; Sync 
2024-01-18;00:09:00;16,20;14,79;0,000; Sync 
2024-01-18;00:10:00;16,18;14,80;0,000; Sync 
2024-01-18;00:11:00;16,16;14,78;0,000; Sync 
2024-01-18;00:12:00;16,13;14,73;0,000; Sync 
2024-01-18;00:13:00;16,07;14,73;0,000; Sync 
2024-01-18;00:14:00;16,08;14,71;0,000; Sync 
2024-01-18;00:15:00;16,01;14,65;0,000; Sync 
2024-01-18;00:16:00;15,99;14,66;0,000; Sync 
2024-01-18;00:17:00;15,97;14,64;0,000; Sync 
2024-01-18;00:18:00;15,96;14,63;0,000; Sync 
2024-01-18;00:19:00;15,90;14,60;0,000; Sync 
2024-01-18;00:20:00;15,87;14,56;0,000; Sync 
2024-01-18;00:21:00;15,84;14,54;0,000; Sync 
2024-01-18;00:22:00;15,83;14,53;0,000; Sync 
2024-01-18;00:23:00;15,77;14,49;0,000; Sync 
2024-01-18;00:24:00;15,80;14,53;0,000; Sync 
2024-01-18;00:25:00;15,74;14,48;0,000; Sync 
2024-01-18;00:26:00;15,71;14,44;0,000; Sync 
2024-01-18;00:27:00;15,68;14,44;0,000; Sync 
2024-01-18;00:28:00;15,64;14,40;0,000; Sync 
2024-01-18;00:29:00;15,59;14,38;0,000; Sync 
2024-01-18;00:30:00;15,61;14,37;0,000; Sync 
2024-01-18;00:31:00;15,59;14,36;0,000; Sync 
2024-01-18;00:32:00;15,59;14,37;0,000; Sync 
2024-01-18;00:33:00;15,55;14,34;0,000; Sync 
2024-01-18;00:34:00;15,53;14,31;0,000; Sync 
2024-01-18;00:35:00;15,49;14,29;0,000; Sync 
2024-01-18;00:36:00;15,49;14,29;0,000; Sync 
2024-01-18;00:37:00;15,45;14,27;0,000; Sync 
2024-01-18;00:38:00;15,42;14,26;0,000; Sync 
2024-01-18;00:39:00;15,38;14,24;0,000; Sync 
2024-01-18;00:40:00;15,33;14,20;0,000; Sync 
2024-01-18;00:41:00;15,32;14,21;0,000; Sync 
2024-01-18;00:42:00;15,35;14,21;0,000; Sync 
2024-01-18;00:43:00;15,29;14,15;0,000; Sync 
2024-01-18;00:44:00;15,28;14,13;0,000; Sync 
2024-01-18;00:45:00;15,28;14,15;0,000; Sync 
2024-01-18;00:46:00;15,28;14,17;0,000; Sync 
2024-01-18;00:47:00;15,24;14,14;0,000; Sync 
2024-01-18;00:48:00;15,20;14,10;0,000; Sync 
2024-01-18;00:49:00;15,17;14,11;0,000; Sync 
2024-01-18;00:50:00;15,17;14,09;0,000; Sync 
2024-01-18;00:51:00;15,13;14,06;0,000; Sync 
2024-01-18;00:52:00;15,14;14,06;0,000; Sync 
2024-01-18;00:53:00;15,09;14,04;0,000; Sync 
2024-01-18;00:54:00;15,08;14,03;0,000; Sync 
2024-01-18;00:55:00;15,05;14,03;0,000; Sync 
2024-01-18;00:56:00;15,03;14,02;0,000; Sync 
2024-01-18;00:57:00;14,99;13,95;0,000; Sync 
2024-01-18;00:58:00;14,99;13,98;0,000; Sync 
2024-01-18;00:59:00;14,97;13,91;0,000; Sync 
2024-01-18;01:00:00;14,93;13,89;0,000; Sync 
2024-01-18;01:01:00;14,93;13,89;0,000; Sync 
2024-01-18;01:02:00;14,92;13,88;0,000; Sync 
2024-01-18;01:03:00;14,92;13,90;0,000; Sync 
2024-01-18;01:04:00;14,92;13,90;0,000; Sync 
2024-01-18;01:05:00;14,87;13,86;0,000; Sync 
2024-01-18;01:06:00;14,89;13,86;0,000; Sync 
2024-01-18;01:07:00;14,83;13,83;0,000; Sync 
2024-01-18;01:08:00;14,82;13,82;0,000; Sync 
2024-01-18;01:09:00;14,84;13,82;0,000; Sync 
2024-01-18;01:10:00;14,81;13,82;0,000; Sync 
2024-01-18;01:11:00;14,79;13,80;0,000; Sync 
2024-01-18;01:12:00;14,78;13,81;0,000; Sync 
2024-01-18;01:13:00;14,74;13,76;0,000; Sync 
2024-01-18;01:14:00;14,71;13,75;0,000; Sync 
2024-01-18;01:15:00;14,71;13,74;0,000; Sync 
