Var1,m,dm,dy,h,mi,G_Gh,hs,G_Gex,G_Gh_hr,G_Dh,G_Gk,G_Dk,G_Bn,Ta,FF,G_Gcs,Td,PVprod,price
4,3,10,69,14,41,520,27.1,632,507,93,520,93,936,10.7,5.4,490,-4.4,432,5
4,3,10,69,14,42,519,27,630,507,94,519,94,935,10.7,5.4,488,-4.4,431,5
4,3,10,69,14,43,501,26.9,627,507,79,501,79,932,10.7,5.5,486,-4.4,416,5
4,3,10,69,14,44,509,26.8,625,507,89,509,89,931,10.7,5.6,483,-4.4,423,5
4,3,10,69,14,45,513,26.7,623,507,95,513,95,930,10.7,5.6,481,-4.3,427,5
4,3,10,69,14,46,479,26.6,620,507,65,479,65,925,10.7,5.7,479,-4.3,399,5
4,3,10,69,14,47,481,26.5,618,507,69,481,69,924,10.7,5.7,477,-4.3,401,5
4,3,10,69,14,48,482,26.4,616,507,71,482,71,925,10.6,5.8,475,-4.3,402,5
4,3,10,69,14,49,492,26.3,613,507,82,492,82,927,10.6,5.9,473,-4.3,410,5
4,3,10,69,14,50,483,26.1,611,507,76,483,76,924,10.6,5.9,470,-4.3,403,5
4,3,10,69,14,51,491,26,608,507,86,491,86,923,10.6,6,468,-4.3,410,5
4,3,10,69,14,52,489,25.9,606,507,86,489,86,922,10.6,6,466,-4.3,408,5
4,3,10,69,14,53,489,25.8,603,507,88,489,88,921,10.6,6.1,464,-4.3,408,5
4,3,10,69,14,54,487,25.7,601,507,88,487,88,920,10.6,6.1,461,-4.3,406,5
4,3,10,69,14,55,490,25.6,598,507,93,490,93,919,10.6,6.2,459,-4.3,409,5
4,3,10,69,14,56,490,25.5,596,507,95,490,95,919,10.6,6.3,457,-4.3,409,5
4,3,10,69,14,57,489,25.4,593,507,97,489,97,916,10.6,6.3,455,-4.2,408,5
4,3,10,69,14,58,487,25.2,591,507,97,487,97,915,10.6,6.4,452,-4.2,406,5
4,3,10,69,14,59,485,25.1,588,507,97,485,97,914,10.6,6.4,450,-4.2,405,5
4,3,10,69,15,0,483,25,586,507,97,483,97,913,10.6,6.5,448,-4.2,403,5
4,3,10,69,15,1,431,24.9,583,369,54,431,54,896,10.6,6.6,445,-4.2,360,5
4,3,10,69,15,2,423,24.8,581,369,51,423,51,888,10.6,6.6,443,-4.2,354,5
4,3,10,69,15,3,427,24.6,578,369,54,427,54,894,10.5,6.7,441,-4.2,358,5
4,3,10,69,15,4,421,24.5,575,369,52,421,52,889,10.5,6.7,438,-4.2,353,5
4,3,10,69,15,5,417,24.4,573,369,51,417,51,886,10.5,6.8,436,-4.2,350,5
4,3,10,69,15,6,419,24.3,570,369,53,419,53,890,10.5,6.8,433,-4.2,352,5
4,3,10,69,15,7,419,24.2,567,369,55,419,55,889,10.5,6.9,431,-4.2,352,5
4,3,10,69,15,8,415,24.1,565,369,54,415,54,886,10.5,7,429,-4.2,349,5
4,3,10,69,15,9,415,23.9,562,369,55,415,55,887,10.4,7,426,-4.1,349,5
4,3,10,69,15,10,414,23.8,559,369,56,414,56,887,10.4,7.1,424,-4.1,348,5
4,3,10,69,15,11,412,23.7,557,369,56,412,56,886,10.4,7.1,421,-4.1,347,5
4,3,10,69,15,12,410,23.6,554,369,56,410,56,885,10.4,7.2,419,-4.1,345,5
4,3,10,69,15,13,408,23.4,551,369,56,408,56,885,10.4,7.3,416,-4.1,344,5
4,3,10,69,15,14,405,23.3,549,369,56,405,56,882,10.4,7.3,414,-4.1,341,5
4,3,10,69,15,15,403,23.2,546,369,56,403,56,881,10.3,7.4,412,-4.1,340,5
4,3,10,69,15,16,401,23.1,543,369,56,401,56,880,10.3,7.4,409,-4.1,338,5
