Var1,m,dm,dy,h,mi,G_Gh,hs,G_Gex,G_Gh_hr,G_Dh,G_Gk,G_Dk,G_Bn,Ta,FF,G_Gcs,Td,PVprod,price
1,2,9,40,0,0,0,-55,0,0,0,0,0,0,-6.3,2.5,0,-11.9,0,2.63073799435028
1,2,9,40,0,1,0,-54.7,0,0,0,0,0,0,-6.3,2.5,0,-11.9,0,2.63073799435028
1,2,9,40,0,2,0,-54.8,0,0,0,0,0,0,-6.3,2.4,0,-11.9,0,2.63073799435028
1,2,9,40,0,3,0,-54.8,0,0,0,0,0,0,-6.3,2.4,0,-11.9,0,2.63073799435028
1,2,9,40,0,4,0,-54.8,0,0,0,0,0,0,-6.3,2.4,0,-11.9,0,2.63073799435028
1,2,9,40,0,5,0,-54.8,0,0,0,0,0,0,-6.3,2.4,0,-11.9,0,2.63073799435028
1,2,9,40,0,6,0,-54.8,0,0,0,0,0,0,-6.3,2.4,0,-11.9,0,2.63073799435028
1,2,9,40,0,7,0,-54.8,0,0,0,0,0,0,-6.3,2.3,0,-11.9,0,2.63073799435028
1,2,9,40,0,8,0,-54.8,0,0,0,0,0,0,-6.3,2.3,0,-11.9,0,2.63073799435028
1,2,9,40,0,9,0,-54.9,0,0,0,0,0,0,-6.3,2.3,0,-11.9,0,2.63073799435028
1,2,9,40,0,10,0,-54.9,0,0,0,0,0,0,-6.3,2.3,0,-11.9,0,2.63073799435028
1,2,9,40,0,11,0,-54.9,0,0,0,0,0,0,-6.4,2.3,0,-11.9,0,2.63073799435028
1,2,9,40,0,12,0,-54.9,0,0,0,0,0,0,-6.4,2.2,0,-11.9,0,2.63073799435028
1,2,9,40,0,13,0,-54.9,0,0,0,0,0,0,-6.4,2.2,0,-11.9,0,2.63073799435028
1,2,9,40,0,14,0,-54.9,0,0,0,0,0,0,-6.4,2.2,0,-11.9,0,2.63073799435028
1,2,9,40,0,15,0,-54.9,0,0,0,0,0,0,-6.4,2.2,0,-11.9,0,2.63073799435028
1,2,9,40,0,16,0,-54.9,0,0,0,0,0,0,-6.4,2.2,0,-11.9,0,2.63073799435028
1,2,9,40,0,17,0,-54.9,0,0,0,0,0,0,-6.4,2.2,0,-11.9,0,2.63073799435028
1,2,9,40,0,18,0,-54.9,0,0,0,0,0,0,-6.4,2.1,0,-12,0,2.63073799435028
1,2,9,40,0,19,0,-54.9,0,0,0,0,0,0,-6.4,2.1,0,-12,0,2.63073799435028
1,2,9,40,0,20,0,-54.9,0,0,0,0,0,0,-6.4,2.1,0,-12,0,2.63073799435028
1,2,9,40,0,21,0,-54.9,0,0,0,0,0,0,-6.4,2.1,0,-12,0,2.63073799435028
1,2,9,40,0,22,0,-54.9,0,0,0,0,0,0,-6.4,2.1,0,-12,0,2.63073799435028
1,2,9,40,0,23,0,-54.9,0,0,0,0,0,0,-6.5,2,0,-12,0,2.63073799435028
1,2,9,40,0,24,0,-54.9,0,0,0,0,0,0,-6.5,2,0,-12,0,2.63073799435028
1,2,9,40,0,25,0,-54.9,0,0,0,0,0,0,-6.5,2,0,-12,0,2.63073799435028
1,2,9,40,0,26,0,-54.9,0,0,0,0,0,0,-6.5,2,0,-12,0,2.63073799435028
1,2,9,40,0,27,0,-54.9,0,0,0,0,0,0,-6.5,2,0,-12,0,2.63073799435028
1,2,9,40,0,28,0,-54.8,0,0,0,0,0,0,-6.5,2,0,-12,0,2.63073799435028
1,2,9,40,0,29,0,-54.8,0,0,0,0,0,0,-6.5,1.9,0,-12,0,2.63073799435028
1,2,9,40,0,30,0,-54.8,0,0,0,0,0,0,-6.5,1.9,0,-12,0,2.63073799435028
1,2,9,40,0,31,0,-54.8,0,0,0,0,0,0,-6.5,1.9,0,-12,0,2.63073799435028
1,2,9,40,0,32,0,-54.8,0,0,0,0,0,0,-6.5,1.9,0,-12,0,2.63073799435028
1,2,9,40,0,33,0,-54.8,0,0,0,0,0,0,-6.5,1.9,0,-12,0,2.63073799435028
1,2,9,40,0,34,0,-54.7,0,0,0,0,0,0,-6.5,1.9,0,-12,0,2.63073799435028
1,2,9,40,0,35,0,-54.7,0,0,0,0,0,0,-6.6,1.9,0,-12,0,2.63073799435028
1,2,9,40,0,36,0,-54.7,0,0,0,0,0,0,-6.6,1.9,0,-12,0,2.63073799435028
1,2,9,40,0,37,0,-54.7,0,0,0,0,0,0,-6.6,1.9,0,-12,0,2.63073799435028
1,2,9,40,0,38,0,-54.7,0,0,0,0,0,0,-6.6,1.8,0,-12,0,2.63073799435028
1,2,9,40,0,39,0,-54.6,0,0,0,0,0,0,-6.6,1.8,0,-12,0,2.63073799435028
1,2,9,40,0,40,0,-54.6,0,0,0,0,0,0,-6.6,1.8,0,-12,0,2.63073799435028
1,2,9,40,0,41,0,-54.6,0,0,0,0,0,0,-6.6,1.8,0,-12,0,2.63073799435028
1,2,9,40,0,42,0,-54.6,0,0,0,0,0,0,-6.6,1.8,0,-12,0,2.63073799435028
1,2,9,40,0,43,0,-54.5,0,0,0,0,0,0,-6.6,1.8,0,-12,0,2.63073799435028
1,2,9,40,0,44,0,-54.5,0,0,0,0,0,0,-6.6,1.8,0,-12,0,2.63073799435028
1,2,9,40,0,45,0,-54.5,0,0,0,0,0,0,-6.7,1.8,0,-12,0,2.63073799435028
1,2,9,40,0,46,0,-54.4,0,0,0,0,0,0,-6.7,1.8,0,-12,0,2.63073799435028
1,2,9,40,0,47,0,-54.4,0,0,0,0,0,0,-6.7,1.8,0,-12,0,2.63073799435028
1,2,9,40,0,48,0,-54.4,0,0,0,0,0,0,-6.7,1.8,0,-12,0,2.63073799435028
1,2,9,40,0,49,0,-54.3,0,0,0,0,0,0,-6.7,1.8,0,-12,0,2.63073799435028
1,2,9,40,0,50,0,-54.3,0,0,0,0,0,0,-6.7,1.7,0,-11.9,0,2.63073799435028
1,2,9,40,0,51,0,-54.2,0,0,0,0,0,0,-6.7,1.7,0,-11.9,0,2.63073799435028
1,2,9,40,0,52,0,-54.2,0,0,0,0,0,0,-6.7,1.7,0,-11.9,0,2.63073799435028
1,2,9,40,0,53,0,-54.2,0,0,0,0,0,0,-6.7,1.7,0,-11.9,0,2.63073799435028
1,2,9,40,0,54,0,-54.1,0,0,0,0,0,0,-6.7,1.7,0,-11.9,0,2.63073799435028
1,2,9,40,0,55,0,-54.1,0,0,0,0,0,0,-6.8,1.7,0,-11.9,0,2.63073799435028
1,2,9,40,0,56,0,-54,0,0,0,0,0,0,-6.8,1.7,0,-11.9,0,2.63073799435028
1,2,9,40,0,57,0,-54,0,0,0,0,0,0,-6.8,1.7,0,-11.9,0,2.63073799435028
1,2,9,40,0,58,0,-54,0,0,0,0,0,0,-6.8,1.7,0,-11.9,0,2.63073799435028
1,2,9,40,0,59,0,-53.9,0,0,0,0,0,0,-6.8,1.7,0,-11.9,0,2.63073799435028
1,2,9,40,1,0,0,-53.9,0,0,0,0,0,0,-6.8,1.7,0,-11.9,0,2.44006002824859
1,2,9,40,1,1,0,-53.8,0,0,0,0,0,0,-6.8,1.7,0,-11.9,0,2.44006002824859
1,2,9,40,1,2,0,-53.8,0,0,0,0,0,0,-6.8,1.6,0,-11.9,0,2.44006002824859
1,2,9,40,1,3,0,-53.7,0,0,0,0,0,0,-6.8,1.6,0,-11.9,0,2.44006002824859
