Var1,m,dm,dy,h,mi,G_Gh,hs,G_Gex,G_Gh_hr,G_Dh,G_Gk,G_Dk,G_Bn,Ta,FF,G_Gcs,Td,PVprod,price
3,1,10,10,0,0,0,-62.1,0,0,0,0,0,0,2,2.1,0,1.3,0,3.81536899717514
3,1,10,10,0,1,0,-62,0,0,0,0,0,0,2,2.1,0,1.3,0,3.81536899717514
3,1,10,10,0,2,0,-62,0,0,0,0,0,0,2,2.1,0,1.3,0,3.81536899717514
3,1,10,10,0,3,0,-62,0,0,0,0,0,0,2,2.1,0,1.3,0,3.81536899717514
3,1,10,10,0,4,0,-62,0,0,0,0,0,0,2,2.1,0,1.3,0,3.81536899717514
3,1,10,10,0,5,0,-62,0,0,0,0,0,0,2,2.1,0,1.3,0,3.81536899717514
3,1,10,10,0,6,0,-62.1,0,0,0,0,0,0,2,2.1,0,1.4,0,3.81536899717514
3,1,10,10,0,7,0,-62.1,0,0,0,0,0,0,2,2.1,0,1.4,0,3.81536899717514
3,1,10,10,0,8,0,-62.1,0,0,0,0,0,0,2,2.1,0,1.4,0,3.81536899717514
3,1,10,10,0,9,0,-62.1,0,0,0,0,0,0,2,2.1,0,1.4,0,3.81536899717514
3,1,10,10,0,10,0,-62.1,0,0,0,0,0,0,2,2.1,0,1.4,0,3.81536899717514
3,1,10,10,0,11,0,-62.1,0,0,0,0,0,0,2,2.1,0,1.4,0,3.81536899717514
3,1,10,10,0,12,0,-62.1,0,0,0,0,0,0,2,2.1,0,1.4,0,3.81536899717514
3,1,10,10,0,13,0,-62.1,0,0,0,0,0,0,2,2.1,0,1.4,0,3.81536899717514
3,1,10,10,0,14,0,-62.1,0,0,0,0,0,0,2,2.1,0,1.4,0,3.81536899717514
3,1,10,10,0,15,0,-62,0,0,0,0,0,0,2,2.1,0,1.4,0,3.81536899717514
3,1,10,10,0,16,0,-62,0,0,0,0,0,0,2,2.1,0,1.4,0,3.81536899717514
3,1,10,10,0,17,0,-62,0,0,0,0,0,0,2,2,0,1.4,0,3.81536899717514
3,1,10,10,0,18,0,-62,0,0,0,0,0,0,2,2,0,1.4,0,3.81536899717514
3,1,10,10,0,19,0,-62,0,0,0,0,0,0,2,2,0,1.4,0,3.81536899717514
3,1,10,10,0,20,0,-62,0,0,0,0,0,0,2,2,0,1.4,0,3.81536899717514
3,1,10,10,0,21,0,-62,0,0,0,0,0,0,2,2,0,1.4,0,3.81536899717514
