 TIME                    	teplota_privod_otopka    	prutok                   	privod                   	
  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.0000000000000000E+01	
  +1.6666666666666666E-02	  -9.9990000000000000E+03	  -9.9990000000000000E+03	  +2.0741349663987034E+01	
  +3.3333333333333333E-02	  +3.2000000000000000E+01	  +1.1210000000000000E+03	  +2.1620680653608815E+01	
  +5.0000000000000003E-02	  +3.2000000000000000E+01	  +1.1200000000000000E+03	  +2.2150092679337536E+01	
  +6.6666666666666666E-02	  +3.2000000000000000E+01	  +1.1210000000000000E+03	  +2.2549694145418513E+01	
  +8.3333333333333329E-02	  +3.2000000000000000E+01	  +1.1190000000000000E+03	  +2.2829132041505460E+01	
  +1.0000000000000001E-01	  +3.3000000000000000E+01	  +1.1190000000000000E+03	  +2.3091524606546958E+01	
  +1.1666666666666667E-01	  +3.3000000000000000E+01	  +1.1190000000000000E+03	  +2.3307075354394698E+01	
  +1.3333333333333333E-01	  +3.3000000000000000E+01	  +1.1200000000000000E+03	  +2.3469723644092753E+01	
  +1.4999999999999999E-01	  +3.4000000000000000E+01	  +1.1190000000000000E+03	  +2.3632677758631594E+01	
  +1.6666666666666666E-01	  +3.3000000000000000E+01	  +1.1180000000000000E+03	  +2.3738410980126638E+01	
  +1.8333333333333332E-01	  +3.3000000000000000E+01	  +1.1200000000000000E+03	  +2.3778559503308458E+01	
  +2.0000000000000001E-01	  +3.3000000000000000E+01	  +1.1210000000000000E+03	  +2.3812270059397683E+01	
  +2.1666666666666667E-01	  +3.3000000000000000E+01	  +1.1180000000000000E+03	  +2.3832921109400608E+01	
  +2.3333333333333334E-01	  +3.3000000000000000E+01	  +1.1190000000000000E+03	  +2.3851095636232465E+01	
  +2.5000000000000000E-01	  +3.4000000000000000E+01	  +1.1210000000000000E+03	  +2.3910910820719497E+01	
  +2.6666666666666666E-01	  +3.4000000000000000E+01	  +1.1180000000000000E+03	  +2.3989166948225797E+01	
  +2.8333333333333333E-01	  +3.5000000000000000E+01	  +1.1180000000000000E+03	  +2.4092613329845197E+01	
  +2.9999999999999999E-01	  +3.5000000000000000E+01	  +1.1200000000000000E+03	  +2.4202781096484085E+01	
  +3.1666666666666665E-01	  +3.5000000000000000E+01	  +1.1210000000000000E+03	  +2.4280030897652335E+01	
  +3.3333333333333331E-01	  +3.5000000000000000E+01	  +1.1190000000000000E+03	  +2.4338725870933672E+01	
  +3.4999999999999998E-01	  +3.6000000000000000E+01	  +1.1200000000000000E+03	  +2.4428717964112131E+01	
  +3.6666666666666664E-01	  +3.6000000000000000E+01	  +1.1190000000000000E+03	  +2.4528447195664789E+01	
  +3.8333333333333336E-01	  +3.6000000000000000E+01	  +1.1180000000000000E+03	  +2.4598669343633766E+01	
  +4.0000000000000002E-01	  +3.6000000000000000E+01	  +1.1190000000000000E+03	  +2.4651802406332195E+01	
  +4.1666666666666669E-01	  +3.6000000000000000E+01	  +1.1180000000000000E+03	  +2.4688777870593579E+01	
  +4.3333333333333335E-01	  +3.6000000000000000E+01	  +1.1190000000000000E+03	  +2.4717114208260746E+01	
  +4.5000000000000001E-01	  +3.6000000000000000E+01	  +1.1180000000000000E+03	  +2.4736510344173738E+01	
  +4.6666666666666667E-01	  +3.6000000000000000E+01	  +1.1180000000000000E+03	  +2.4751637082060835E+01	
  +4.8333333333333334E-01	  +3.6000000000000000E+01	  +1.1180000000000000E+03	  +2.4761742648455513E+01	
  +5.0000000000000000E-01	  +3.6000000000000000E+01	  +1.1180000000000000E+03	  +2.4769824586829586E+01	
  +5.1666666666666672E-01	  +3.7000000000000000E+01	  +1.1190000000000000E+03	  +2.4824407707853283E+01	
  +5.3333333333333333E-01	  +3.7000000000000000E+01	  +1.1190000000000000E+03	  +2.4897137605015583E+01	
  +5.5000000000000004E-01	  +3.7000000000000000E+01	  +1.1180000000000000E+03	  +2.4948720937278512E+01	
  +5.6666666666666665E-01	  +3.7000000000000000E+01	  +1.1190000000000000E+03	  +2.4987443271036859E+01	
  +5.8333333333333337E-01	  +3.7000000000000000E+01	  +1.1190000000000000E+03	  +2.5014670298398208E+01	
  +5.9999999999999998E-01	  +3.7000000000000000E+01	  +1.1180000000000000E+03	  +2.5035303927653043E+01	
  +6.1666666666666670E-01	  +3.7000000000000000E+01	  +1.1190000000000000E+03	  +2.5049627737473614E+01	
  +6.3333333333333330E-01	  +3.7000000000000000E+01	  +1.1170000000000000E+03	  +2.5060634475050719E+01	
  +6.5000000000000002E-01	  +3.7000000000000000E+01	  +1.1190000000000000E+03	  +2.5068142146356710E+01	
  +6.6666666666666663E-01	  +3.7000000000000000E+01	  +1.1190000000000000E+03	  +2.5074017326499924E+01	
  +6.8333333333333335E-01	  +3.7000000000000000E+01	  +1.1170000000000000E+03	  +2.5077924425822644E+01	
  +6.9999999999999996E-01	  +3.7000000000000000E+01	  +1.1170000000000000E+03	  +2.5081067773872704E+01	
  +7.1666666666666667E-01	  +3.7000000000000000E+01	  +1.1170000000000000E+03	  +2.5083083307873721E+01	
  +7.3333333333333328E-01	  +3.7000000000000000E+01	  +1.1170000000000000E+03	  +2.5084770868191214E+01	
  +7.5000000000000000E-01	  +3.7000000000000000E+01	  +1.1190000000000000E+03	  +2.5085784785720186E+01	
  +7.6666666666666672E-01	  +3.7000000000000000E+01	  +1.1190000000000000E+03	  +2.5086680545182595E+01	
  +7.8333333333333333E-01	  +3.7000000000000000E+01	  +1.1190000000000000E+03	  +2.5087175815854547E+01	
  +8.0000000000000004E-01	  +3.7000000000000000E+01	  +1.1170000000000000E+03	  +2.5087654576573570E+01	
  +8.1666666666666665E-01	  +3.7000000000000000E+01	  +1.1170000000000000E+03	  +2.5087885079761019E+01	
  +8.3333333333333337E-01	  +3.7000000000000000E+01	  +1.1170000000000000E+03	  +2.5088139989594886E+01	
  +8.4999999999999998E-01	  +3.7000000000000000E+01	  +1.1180000000000000E+03	  +2.5088235835358251E+01	
  +8.6666666666666670E-01	  +3.7000000000000000E+01	  +1.1170000000000000E+03	  +2.5088370492273381E+01	
  +8.8333333333333330E-01	  +3.7000000000000000E+01	  +1.1170000000000000E+03	  +2.5088395476774959E+01	
  +9.0000000000000002E-01	  +3.7000000000000000E+01	  +1.1180000000000000E+03	  +2.5088454787942474E+01	
  +9.1666666666666663E-01	  +3.7000000000000000E+01	  +1.1160000000000000E+03	  +2.5088440658115111E+01	
  +9.3333333333333335E-01	  +3.7000000000000000E+01	  +1.1180000000000000E+03	  +2.5088465566819274E+01	
  +9.4999999999999996E-01	  +3.7000000000000000E+01	  +1.1170000000000000E+03	  +2.5088442719021664E+01	
  +9.6666666666666667E-01	  +3.7000000000000000E+01	  +1.1180000000000000E+03	  +2.5088450670396686E+01	
  +9.8333333333333328E-01	  +3.7000000000000000E+01	  +1.1170000000000000E+03	  +2.5088423791892083E+01	
  +1.0000000000000000E+00	  +3.7000000000000000E+01	  +1.1170000000000000E+03	  +2.5088423942740711E+01	
  +1.0166666666666666E+00	  +3.7000000000000000E+01	  +1.1160000000000000E+03	  +2.5088393381042987E+01	
